"","index","recnoise","meanpeaks","varprey","meanPeriod","sdperiod","count0peaks"
"1","1",1.74932844593254,0.45,NA,14.5205128205128,0.356954021647074,14
"2","2",-1.89696517119276,0.65,NA,11.3768382352941,0.0202249854492713,7
"3","3",0.697497842210002,0.55,NA,13.8752747252747,0.0362321751295901,9
"4","4",0.551410379953441,0.7,NA,13.6332417582418,0.0134439693661976,6
"5","5",-0.837569630775158,0.8,NA,12.0645833333333,0.00213745490017728,4
"6","6",-0.894155146472527,0.75,NA,12,0,5
"7","7",2.03800687265614,0.65,NA,15.9643181818182,0.847498782655686,12
"8","8",-0.579092871155075,0.6,NA,12.2914583333333,0.0334011098232812,8
"9","9",-0.148319043200921,0.6,NA,12.7114285714286,0.0245450306023552,8
"10","10",0.222171233720813,0.7,NA,13.142380952381,0.00212958854999979,6
"11","11",-1.58898421882175,0.75,NA,11.5246323529412,0.0278743906084751,5
"12","12",0.180586496525547,0.7,NA,13.0957142857143,0.0345430332789169,6
"13","13",-1.36583527006595,0.7,NA,11.6864583333333,0.00465847495312469,6
"14","14",1.9795201097841,0.6,NA,14.7523358585859,0.975693750557657,13
"15","15",0.0210980790396432,0.55,NA,12.8609523809524,0.00478690180904793,9
"16","16",-1.50773505320999,0.8,NA,11.5650735294118,0.00792115639477499,4
"17","17",-0.604940189015407,0.55,NA,12.2283333333333,0.0324893144826973,9
"18","18",0.814234181304254,0.45,NA,14.0763736263736,0.00169117310783267,11
"19","19",0.103089616224841,0.65,NA,13,0,7
"20","20",-1.80396302986784,0.65,NA,11.4022058823529,0.024746023707048,7
"21","21",-0.905397065839847,0.7,NA,12,0,6
"22","22",0.203213590577353,0.75,NA,13.142380952381,0.00212958854999979,5
"23","23",-0.705035181669629,0.65,NA,12.13125,0.00370218048599412,7
"24","24",1.41408202367388,0.3,NA,21.6236111111111,0.0185246091348707,14
"25","25",1.5031067078743,0.3,NA,19.36,0.0820782681668131,14
"26","26",0.859248183161152,0.55,NA,14.1538461538462,0,9
"27","27",0.111519918629236,0.65,NA,13.0704761904762,0.00195424448016219,7
"28","28",0.518624909964195,0.65,NA,13.614010989011,0.0280095006185808,7
"29","29",NA,NA,NA,NA,NA,6
"30","30",1.47757764846983,0.3,NA,19.4572222222222,0.0571439594249948,14
"31","31",0.0417752469971142,0.55,NA,12.9302380952381,0.00233028802347424,9
"32","32",0.355859986016453,0.5,NA,13.3626373626374,0.0112744873855511,10
"33","33",0.458015809788654,0.55,NA,13.5,0.0249571417124249,9
"34","34",0.113892154731572,0.65,NA,13.0704761904762,0.00195424448016219,7
"35","35",-0.381215658613734,0.65,NA,12.4645238095238,0.0143669370201588,7
"36","36",0.46145680599887,0.55,NA,13.5458791208791,0.025164784652208,9
"37","37",-0.470189637926784,0.55,NA,12.3566666666667,0.0326240323286394,9
"38","38",0.139800377482787,0.7,NA,13.0704761904762,0.00195424448016219,6
"39","39",0.0640406867773407,0.6,NA,12.9304761904762,0.00239345090452397,8
"40","40",1.07755650619148,0.5,NA,14.5439102564103,0.0270588920610641,10
"41","41",1.81432634149823,0.35,NA,14.75,0,13
"42","42",0.00130253363687442,0.5,NA,12.8957142857143,0.0348868219376584,10
"43","43",-0.723155655032079,0.7,NA,12.1741666666667,0.0311100668162243,6
"44","44",-0.946280881747254,0.7,NA,11.9360416666667,0.00203900202053985,6
"45","45",0.348516810394529,0.5,NA,13.3549450549451,0.0182144918061455,10
"46","46",1.78525934453369,0.45,NA,16.1363636363636,0.0807748469671497,12
"47","47",0.470278603473781,0.55,NA,13.5260989010989,0.026672861433736,9
"48","48",0.0480356908414508,0.6,NA,12.9411904761905,0.025446249944411,8
"49","49",0.193006676057548,0.75,NA,13.142380952381,0.00212958854999979,5
"50","50",-1.70244783593179,0.7,NA,11.4466911764706,0.0289853964134518,6
"51","51",2.60975107329571,0.4,NA,17.4163636363636,0.0256452188717252,12
"52","52",1.65177121506419,0.6,NA,14.55,0.421774464309898,12
"53","53",1.57573537670953,0.5,NA,17.6018181818182,0.096010003828485,12
"54","54",0.400697088942656,0.45,NA,13.4247252747253,0.0237233540284732,11
"55","55",-0.284429141995884,0.8,NA,12.5690476190476,0.031492302664357,4
"56","56",1.634495508352,0.6,NA,12.5152380952381,0.317675950158312,12
"57","57",0.651202853233859,0.65,NA,13.8489010989011,0.00488199624526723,7
"58","58",-1.6312419933014,0.75,NA,11.4985294117647,0.0150122878098247,5
"59","59",-0.755028819407737,0.7,NA,12.1008333333333,0.0318645708772766,6
"60","60",-1.22030923317705,0.65,NA,11.7689583333333,0.030692393623108,7
"61","61",0.163086106088516,0.75,NA,13.0704761904762,0.00195424448016219,5
"62","62",-0.0487387639314035,0.5,NA,12.7907142857143,0.00699086407042273,10
"63","63",-0.400719990046676,0.65,NA,12.4597619047619,0.0235055787625695,7
"64","64",-0.587892289934036,0.6,NA,12.2641666666667,0.00610579247554236,8
"65","65",-0.782824842879912,0.75,NA,12.11375,0.0281333239793781,5
"66","66",0.981630973451012,0.7,NA,14.3461538461538,0.0367359179185321,6
"67","67",1.25934397112559,0.65,NA,14.8153846153846,0.0312379946834731,7
"68","68",-0.468461934157069,0.55,NA,12.3566666666667,0.0326240323286394,9
"69","69",-0.361298575782253,0.7,NA,12.5066666666667,0.0298142396999971,6
"70","70",0.0500453981819302,0.6,NA,12.9304761904762,0.00239345090452397,8
"71","71",-1.4786796946869,0.8,NA,11.5963235294118,0.0303544741254966,4
"72","72",-2.25071095146267,0.8,NA,11.49,0.0967906041546984,4
