"","index","age","OOS_R2","OOS_rmse","R2","rmse","model","ln_post","lnL_LOO","df","age class","rho"
"5015","81","15",0.999504507271003,0.021337447894254,0.999677027261409,0.017226885361342,"Mixed",36.7878119904477,55.451210829428,3.03683283794889,"V4",NA
"5016","81","16",0.999601807895348,0.0200910481719652,0.999713538672664,0.0170407722689987,"Mixed",36.6673092122937,55.4887437426626,3.04623594919796,"V5",NA
"5017","81","17",0.999606596524236,0.0200095440089791,0.999714497419755,0.0170460247315709,"Mixed",36.6973249169026,55.4941603130816,3.04161382966519,"V6",NA
"5018","81","18",0.999591740988562,0.0201660036846686,0.999703350483961,0.0171899167914133,"Mixed",36.6694735925074,55.4866732143561,3.04363588194943,"V7",NA
"5019","81","19",0.999585240681729,0.0204398258340472,0.999700409306449,0.0173717381347362,"Mixed",36.6364094182607,55.474115908365,3.04568065987073,"V8",NA
"5020","81","20",0.998316810582724,0.0419139581613749,0.999144109657001,0.0298883019928932,"Mixed",24.5316693829104,51.2764107204718,7.76155336255982,"V9",NA
"5021","81","all",0.999057892446602,0.121854633561495,0.99913056061904,0.117060792212156,"modHier",1053.52045300917,1117.51338837996,18.5849530942436,"all",0.999979122987556
"5022","81","all",0.999097672204495,0.0160828533565182,0.99951471994176,0.0117944354201569,"modNT",27.3097335415542,52.6620488226467,6.83316792646524,"all",0.500000076493016
"5023","82","1",0.999180236838914,0.106264092453584,0.999249162492993,0.101698680479016,"Hier",NA,NA,NA,NA,NA
"5024","82","2",0.999673818626782,0.0659219514494268,0.99970099800594,0.0631157168250625,"Hier",NA,NA,NA,NA,NA
"5025","82","3",0.999889863257966,0.0384250297419897,0.999897023341145,0.0371550198780019,"Hier",NA,NA,NA,NA,NA
"5026","82","4",0.999777069229108,0.054934869254338,0.999794856911788,0.0526976842361842,"Hier",NA,NA,NA,NA,NA
"5027","82","5",0.999399299014644,0.090636696322438,0.999445942604961,0.0870466923080166,"Hier",NA,NA,NA,NA,NA
"5028","82","6",0.999175300143296,0.106622192304472,0.999252892903124,0.101482481758737,"Hier",NA,NA,NA,NA,NA
"5029","82","7",0.999458398687056,0.0863883710345453,0.999504313873229,0.0826454241123633,"Hier",NA,NA,NA,NA,NA
"5030","82","8",0.999159089444869,0.106595402935166,0.999215703553147,0.102944630098621,"Hier",NA,NA,NA,NA,NA
"5031","82","9",0.998020210539591,0.159282843192684,0.998180098894336,0.152715595394077,"Hier",NA,NA,NA,NA,NA
"5032","82","10",0.998673661609894,0.128468744039867,0.998795825399871,0.122409476145122,"Hier",NA,NA,NA,NA,NA
"5033","82","11",0.99846642413069,0.143514592180432,0.998573396884343,0.138418778410618,"Hier",NA,NA,NA,NA,NA
"5034","82","12",0.999418162518621,0.089590563432604,0.999467635152919,0.0856970961024423,"Hier",NA,NA,NA,NA,NA
"5035","82","13",0.998268607106157,0.154620645918034,0.998400894113487,0.148596396844377,"Hier",NA,NA,NA,NA,NA
"5036","82","14",0.999132343038568,0.108545388447499,0.999197300513414,0.104403207646976,"Hier",NA,NA,NA,NA,NA
"5037","82","15",0.998304353089966,0.148179122835694,0.998454437293138,0.141469436354448,"Hier",NA,NA,NA,NA,NA
"5038","82","16",0.998439011157624,0.139062244457166,0.998573373298525,0.132942704429221,"Hier",NA,NA,NA,NA,NA
"5039","82","17",0.998660059645271,0.133394217398204,0.998757067007707,0.128474852581225,"Hier",NA,NA,NA,NA,NA
"5040","82","18",0.998256680154148,0.155206948398806,0.998392164140665,0.149053946129518,"Hier",NA,NA,NA,NA,NA
"5041","82","19",0.998724081508899,0.131646187371431,0.998828410912613,0.126149193740435,"Hier",NA,NA,NA,NA,NA
"5042","82","20",0.999268715717993,0.0988320053758812,0.999332019010543,0.0944575201349665,"Hier",NA,NA,NA,NA,NA
"5043","82","1",0.998005981113519,0.174326340769731,0.998373986754812,0.141915796048657,"IndvAge",5.27683688898079,27.3782384542521,6.6839365218235,"V1",NA
"5044","82","2",0.99846992521956,0.138396595791021,0.998485328520586,0.140111340677634,"IndvAge",3.92500236419389,26.099141948917,7.12622387968961,"V10",NA
"5045","82","3",0.998358442552599,0.138085447540145,0.998684956038729,0.13302954359101,"IndvAge",3.95301014414865,26.1346085899054,7.24153428465372,"V11",NA
"5046","82","4",0.998383652878875,0.141122137206524,0.998631560293197,0.135068514018596,"IndvAge",4.21712918209626,26.2834263364169,7.17586888364875,"V12",NA
"5047","82","5",0.99824515319453,0.15571936358988,0.99853923190776,0.137106987474924,"IndvAge",4.83094353435631,26.8521611808709,6.79346039434787,"V13",NA
"5048","82","6",0.998212601789934,0.166328668316937,0.99837011258426,0.141575146789628,"IndvAge",5.23018925020825,27.1296037705965,6.69325103176944,"V14",NA
"5049","82","7",0.998411229220858,0.162661644226943,0.998365847940947,0.138836072520943,"IndvAge",4.98149852438864,27.1540281837169,6.75008597189505,"V15",NA
"5050","82","8",0.998312777943745,0.165597337641036,0.998162907439762,0.146277706966359,"IndvAge",4.7785322748964,27.0555945984585,6.84742469492146,"V16",NA
"5051","82","9",0.997772519488781,0.167375318384915,0.998172039423609,0.150370164075816,"IndvAge",4.97233175583021,27.3858980329492,6.84374271359548,"V17",NA
"5052","82","10",0.995314170370854,0.174132085376786,0.998358429172865,0.154467941569216,"IndvAge",5.29582527744371,27.8246378798072,6.76619611747386,"V18",NA
"5053","82","11",0.993566705360281,0.184723717581832,0.998444025729814,0.159452079898454,"IndvAge",5.48112657188335,27.8964191962951,6.69976639061273,"V19",NA
"5054","82","12",0.998198461766669,0.172646875013551,0.998322749674911,0.141038668484645,"IndvAge",5.08723422119776,27.4104707943146,6.71522046794825,"V2",NA
"5055","82","13",0.998101115591062,0.139573198120852,0.998460985850158,0.151749200242469,"IndvAge",5.12442729603466,27.4434056841116,6.82215555182167,"V20",NA
"5056","82","14",0.998197305896495,0.172365201383698,0.998300534132922,0.140594644961108,"IndvAge",4.83613402177482,27.4741669512208,6.76159451990323,"V3",NA
"5057","82","15",0.997639771647119,0.177896620341088,0.998181800250128,0.148803018183943,"IndvAge",4.95699485627296,27.5568518742695,6.86362629858048,"V4",NA
"5058","82","16",0.995472753860919,0.181196420949989,0.998377098474942,0.151432253666814,"IndvAge",5.29625994744736,27.9517570287424,6.79041468012549,"V5",NA
