"","index","age","OOS_R2","OOS_rmse","R2","rmse","model","ln_post","lnL_LOO","df","age class","rho"
"3826","62","4",0.99968215676553,0.0175071429510364,0.999766636708483,0.015001167591781,"Mixed",36.4046593106972,55.1087306814817,3.87882132510713,"V12",NA
"3827","62","5",0.999612605482995,0.0193052151522835,0.999739483316207,0.0158312673069667,"Mixed",36.3289365679186,55.0354634396628,3.91462897915155,"V13",NA
"3828","62","6",0.999189148187561,0.0272208131966095,0.999390414769252,0.0236019326870627,"Mixed",36.9872226018934,55.184442449373,2.9343730208745,"V14",NA
"3829","62","7",0.999437608712578,0.0235118773085242,0.999599619224885,0.0198383077349524,"Mixed",36.5465786303421,55.0416574670292,3.57644669589851,"V15",NA
"3830","62","8",0.999635097162586,0.0196148224044091,0.999754944866717,0.0160741368809445,"Mixed",36.3346082237382,55.0392085049044,3.89150993394164,"V16",NA
"3831","62","9",0.999414615081029,0.0238310246354051,0.999567448901636,0.0204852213179516,"Mixed",37.133302438677,55.2774373271751,3.12423767424032,"V17",NA
"3832","62","10",0.999481565233403,0.0223660281285092,0.999609568176835,0.019409502873828,"Mixed",37.0725134672757,55.3077771688474,3.18822438540213,"V18",NA
"3833","62","11",0.999671240324233,0.0180523156088204,0.999777755108746,0.0148425848141895,"Mixed",36.1642534871081,55.0515648848732,3.97400097129184,"V19",NA
"3834","62","12",0.99423781909052,0.0760869784030643,0.997539171219302,0.0497230306909964,"Mixed",26.6439051114973,48.4980079450727,7.24261117015375,"V2",NA
"3835","62","13",0.991772305910771,0.0891658460583534,0.996726752294951,0.0562404650004132,"Mixed",24.589926509061,46.4497621709961,7.8655173574896,"V20",NA
"3836","62","14",0.99470848991534,0.0740646109365931,0.997732239216355,0.0484863566989902,"Mixed",26.7416927694163,48.6965163727514,7.28502515256705,"V3",NA
"3837","62","15",0.999652537214525,0.0181747400382069,0.999739060753048,0.0157501161754359,"Mixed",37.4673302640718,55.6015916386128,2.99956760409543,"V4",NA
"3838","62","16",0.999577889727044,0.0200935530284139,0.999698013065506,0.0169956529109493,"Mixed",36.9593881245619,55.2973037329003,3.4043893509568,"V5",NA
"3839","62","17",0.999594412384685,0.0198589358034038,0.999717893510154,0.0165622817297611,"Mixed",36.3674599547337,55.0378755771692,3.86556959974393,"V6",NA
"3840","62","18",0.999408614136898,0.0235200151624628,0.999575517484737,0.0199265462291539,"Mixed",36.6613592738232,55.1176465263455,3.44112328808325,"V7",NA
"3841","62","19",0.99930074320567,0.0254560660588203,0.999460461592052,0.0223606346073781,"Mixed",36.914098551776,55.205752255751,3.06207729007446,"V8",NA
"3842","62","20",0.996612197490584,0.058973639243617,0.998963526551359,0.0326195508435254,"Mixed",20.114837169647,48.224151394793,10.284291196711,"V9",NA
"3843","62","all",0.999792399045484,0.0825269087295261,0.999821455076965,0.0765340432475602,"modHier",1019.88496075812,1105.67544712686,39.1460854923333,"all",0.999914397875458
"3844","62","all",0.997523388502354,0.0459925170501468,0.998958843813041,0.0298205862934381,"modNT",23.5113250820623,50.0022830118892,8.90134340992677,"all",0.500000076493016
"3845","63","1",0.998626970263505,0.090500999765699,0.998781868403375,0.0852433501325018,"Hier",NA,NA,NA,NA,NA
"3846","63","2",0.999360993332367,0.0642084751764309,0.999451861323951,0.0594682125172048,"Hier",NA,NA,NA,NA,NA
"3847","63","3",0.998920489827077,0.0797872375643618,0.999078090896318,0.0737333746185249,"Hier",NA,NA,NA,NA,NA
"3848","63","4",0.997578914914654,0.118870350275255,0.99790971387698,0.110451440674192,"Hier",NA,NA,NA,NA,NA
