"","age","OOS_R2","OOS_rmse","R2","rmse","model","ln_post","lnL_LOO","df","age class","rho","species"
"1","1",0.529995839165551,10926.4601476031,0.959105596702091,3223.00198189402,"KRFC_Hier",NA,NA,NA,NA,NA,NA
"2","2",0.696567979637465,32713.687098478,0.984396079988587,7418.49227338797,"KRFC_Hier",NA,NA,NA,NA,NA,NA
"3","3",0.569941420179193,21870.6030355883,0.973470039263695,5432.06869355136,"KRFC_Hier",NA,NA,NA,NA,NA,NA
"4","4",0.395730223743794,1470.23673402198,0.98347766436869,243.112647675332,"KRFC_Hier",NA,NA,NA,NA,NA,NA
"5","1",0.00845440172740841,53.9057580414739,0.307982515458785,45.0336705030196,"SB_Hier",NA,NA,NA,NA,NA,NA
"6","2",0.206770344663457,91.2200907874532,0.56830618359053,67.2944027409972,"SB_Hier",NA,NA,NA,NA,NA,NA
"7","3",0.132202291005363,76.4674001235859,0.476702655881258,59.3801568156202,"SB_Hier",NA,NA,NA,NA,NA,NA
"8","4",0.483378890608115,66.6413656522902,0.696597008127991,51.0702217966512,"SB_Hier",NA,NA,NA,NA,NA,NA
"9","5",0.266887606615704,33.2409440854106,0.577249998121722,25.242355464863,"SB_Hier",NA,NA,NA,NA,NA,NA
"10","6",0.24032719558889,40.1215928248539,0.501345862283185,32.5060792638006,"SB_Hier",NA,NA,NA,NA,NA,NA
"11","7",0.223805400837654,19.3235516071968,0.620500278769169,13.5116184763179,"SB_Hier",NA,NA,NA,NA,NA,NA
"12","8",0.318197900548915,19.4256575751563,0.508611686085604,16.4914549920945,"SB_Hier",NA,NA,NA,NA,NA,NA
"13","9",0.442107919709938,3.72651353094032,0.649623578814269,2.95321482916737,"SB_Hier",NA,NA,NA,NA,NA,NA
"14","10",0.401689878945415,2.78385155230652,0.678438457434185,2.04086815868031,"SB_Hier",NA,NA,NA,NA,NA,NA
"15","11",0.177972040914966,2.15845103721018,0.529628897273996,1.63274823658509,"SB_Hier",NA,NA,NA,NA,NA,NA
"16","12",0.369451717149926,1.34386128057538,0.626965255377473,1.0336414332174,"SB_Hier",NA,NA,NA,NA,NA,NA
"17","13",0.0020194726112911,0.605193424765335,0.440870019855655,0.452990982643092,"SB_Hier",NA,NA,NA,NA,NA,NA
"18","14",-0.0518351834860136,0.26669806495278,0.273680157053309,0.221620521446434,"SB_Hier",NA,NA,NA,NA,NA,NA
"19","1",-0.188661289924302,17376.3155458952,0.885665194291023,5389.12011929302,"KRFC_indvAge",-16.1646227923627,-7.81235524789092,12.3076977281315,"2",NA,NA
"20","2",0.60695270950544,37232.4139446167,0.921564766514167,16632.3795821419,"KRFC_indvAge",-15.9074373906904,-3.85893648298491,15.4991054559632,"3",NA,NA
"21","3",0.261852922162023,28652.8879973694,0.681090240662719,18833.4921184074,"KRFC_indvAge",-16.2626542372816,-8.55439096821962,9.18984573374846,"4",NA,NA
"22","4",0.118909576433334,1775.34218849438,0.823617229572159,794.328075539299,"KRFC_indvAge",-17.0313658210949,-9.21293084826403,13.0174338743146,"5",NA,NA
"23","1",0.256705159505044,44.9083098783951,0.909517358184928,15.6685492743147,"SB_indvAge",-16.1948179303193,-5.55914391855547,12.8194505046296,"X1",NA,NA
"24","2",0.159298583156534,93.1117101547517,0.571702412223241,66.459371183279,"SB_indvAge",-16.6645736904695,-9.3904679934967,6.86529892975768,"X2",NA,NA
"25","3",-0.0219375638604171,85.1580019106301,0.172555999394762,76.6271348268552,"SB_indvAge",-18.1322179782218,-11.8292940434963,3.13098424212473,"X3",NA,NA
"26","4",0.464892521567466,66.1472470131659,0.93402171058646,23.226928846223,"SB_indvAge",-12.313353027951,0.0636434560340273,12.4678842482654,"X4",NA,NA
"27","5",0.418756541503876,29.9686957015826,0.672107440037703,22.5089161882018,"SB_indvAge",-13.3005179786406,-4.53044905448872,7.08152641295148,"X5",NA,NA
"28","6",0.0894364441313191,42.4662370010125,0.452110823670502,32.9408656323481,"SB_indvAge",-18.4651138982904,-11.87849003097,6.05621319681332,"X6",NA,NA
"29","7",0.647767144248863,12.6265254696588,0.934769938183685,5.43366453378283,"SB_indvAge",-12.4606869841566,1.54445262767198,12.7945184656594,"X7",NA,NA
"30","8",-0.0743827181390382,23.1620657603492,0.0135444173177762,22.1940495259138,"SB_indvAge",-20.2404954932759,-14.7945674162695,1.12162308909193,"X8",NA,NA
"31","9",0.208450725543408,4.39628307751127,0.745031320319409,2.49511225273782,"SB_indvAge",-16.9722059317338,-9.27601301812742,10.7390534125199,"X9",NA,NA
"32","10",0.0889932785019014,3.3090110986224,0.659408828484392,2.02327132450037,"SB_indvAge",-18.2025666739971,-11.2374838626765,8.81976461805726,"X10",NA,NA
"33","11",0.24817708501697,1.95919329706761,0.813161303439496,0.976681409859373,"SB_indvAge",-15.4604632904153,-6.84334266677896,9.68506930562524,"X11",NA,NA
"34","12",-0.120136094438959,1.70681384262336,0.370764459445272,1.27925576485382,"SB_indvAge",-18.0020059265498,-13.3952886208574,3.0674501561029,"X12",NA,NA
"35","13",-0.106513018711679,0.613703128231085,0.324755297744093,0.47941394867443,"SB_indvAge",-20.184999237248,-14.7551001749513,4.77700599673468,"X13",NA,NA
"36","14",-0.223594487876904,0.273277333873056,0.185634247064617,0.222943393252731,"SB_indvAge",-20.1917413139467,-15.2636903081161,2.31240746058348,"X14",NA,NA
"37","1",-0.0617852649436348,1.0293643956575,0.94921451306164,0.225123382737339,"KRFC_mixedAge",-15.4581480992884,-5.14187215404673,15.2067686425816,"2",NA,NA
