"","index","recnoise1","recnoise2","meanpeaks","varprey","meanPeriod","sdperiod"
"1","1",1.74932844593254,-1.89696517119276,0.4,87331.8357160648,36.82,2.55808316394995
"2","2",0.697497842210002,0.551410379953441,0.1,8740.54303738882,21.2321428571429,1.30105199936372
"3","3",-0.837569630775158,-0.894155146472527,1.15,447.862678175261,7.04424603174603,0.0153087958356776
"4","4",2.03800687265614,-0.579092871155075,0.5,120528.669869236,52.8333333333333,0.170996392014194
"5","5",-0.148319043200921,0.222171233720813,1.45,1191.458929034,12.0020477300477,2.58417966636133
"6","6",NA,NA,NA,NA,NA,NA
"7","7",NA,NA,NA,NA,NA,NA
"8","8",0.0210980790396432,-1.50773505320999,0.75,4745.91635527138,32.3383333333333,2.84132567280616
"9","9",NA,NA,NA,NA,NA,NA
"10","10",0.103089616224841,-1.80396302986784,0.35,6713.10365436935,29.84,0.541343358303164
"11","11",NA,NA,NA,NA,NA,NA
"12","12",NA,NA,NA,NA,NA,NA
"13","13",1.5031067078743,0.859248183161152,0.25,58747.3319799045,31.0791666666667,5.89208973889808
"14","14",0.111519918629236,0.518624909964195,1.3,1621.84705752316,19.633710905108,5.88749455083874
"15","15",NA,NA,NA,NA,NA,NA
"16","16",0.0417752469971142,0.355859986016453,1.3,1605.0577791443,9.20516551198509,1.83291830295009
"17","17",0.458015809788654,0.113892154731572,1.2,3255.95401509043,6.94166666666667,0.0187011127710815
"18","18",NA,NA,NA,NA,NA,NA
"19","19",-0.470189637926784,0.139800377482787,0.65,631.632648384618,20.2546980796981,5.53766496015175
"20","20",NA,NA,NA,NA,NA,NA
"21","21",1.81432634149823,0.00130253363687442,0.4,105730.707749538,60.8416666666667,2.86972246350477
"22","22",-0.723155655032079,-0.946280881747254,1.1,529.753672665361,7.43853846153846,0.0182748659538351
"23","23",NA,NA,NA,NA,NA,NA
"24","24",0.470278603473781,0.0480356908414508,1,3387.49854454332,7,0
"25","25",0.193006676057548,-1.70244783593179,0.45,6025.64231224167,27.8333333333333,0
"26","26",NA,NA,NA,NA,NA,NA
"27","27",1.57573537670953,0.400697088942656,0.4,56522.9501108959,37.38,1.83750402792255
"28","28",NA,NA,NA,NA,NA,NA
"29","29",0.651202853233859,-1.6312419933014,0.3,12532.3089024684,46.1666666666667,0.341992784028386
"30","30",-0.755028819407737,-1.22030923317705,1,494.852681790702,8.08514492753623,0.00185865643493677
"31","31",0.163086106088516,-0.0487387639314035,1.15,1997.03294701508,6.9921654432524,0.517057894075327
"32","32",-0.400719990046676,-0.587892289934036,1,802.873685271955,7,0
"33","33",NA,NA,NA,NA,NA,NA
"34","34",1.25934397112559,-0.468461934157069,0.8,26629.6752726898,33.2541666666667,1.90791575910983
"35","35",-0.361298575782253,0.0500453981819302,1.1,834.095030532759,13.4914843573186,2.86524665735616
