"","rowname","phi1","phi2","ve","sigma2","rho","phi3","phi4","phi5","tslength","approach","maxE","iter"
"1","5yrs20ages",0.209211150187313,0.127867800027111,0.0535558606284616,2.45093305225383,0.970127217200706,NA,NA,NA,5,"hier",2,1
"2","10yrs10ages",0.740673628161408,0.165080337146474,0.01,2.30410940617742,0.984366470503291,0.0843605234695236,NA,NA,10,"hier",3,1
"3","20yrs5ages",0.18839292094742,0,0.01,2.77983850576584,0.997889458606826,1.01417621831808,0.0758285214246265,NA,20,"hier",4,1
"4","25yrs4ages",0.462808399147409,0.0754410881266543,0.01,2.85777881296849,0.99977548375417,0,0,0.0288264354222269,25,"hier",5,1
"5","5yrs20ages",0.213615031891925,0.132088320141684,0.0513650701312991,2.38588573995063,0.969273067573368,NA,NA,NA,5,"hier",2,2
"6","10yrs10ages",0.746460206712009,0.167671009669824,0.01,2.2902969201993,0.983579064369275,0.0842744732432633,NA,NA,10,"hier",3,2
"7","20yrs5ages",0.19207268120282,0,0.01,2.81213045718325,0.997915950514175,1.0219482217482,0.0774421101111233,NA,20,"hier",4,2
"8","25yrs4ages",0.529064059564332,0.0846604694994374,0.01,2.74222045753247,0.999772309226582,5.53942084181278e-102,0,0.0294848216415594,25,"hier",5,2
"9","5yrs20ages",0.205494733665938,0.124278414047732,0.0529462983272484,2.49035793664925,0.970122102898821,NA,NA,NA,5,"hier",2,3
"10","10yrs10ages",0.742036832579872,0.168939011440861,0.01,2.28716680386426,0.983871186066529,0.0835107505306799,NA,NA,10,"hier",3,3
"11","20yrs5ages",0.186803671375808,0,0.01,2.79446492541896,0.997860933125566,1.00878832595007,0.0709549272975717,NA,20,"hier",4,3
"12","25yrs4ages",0.422834710287725,0.0666200415929234,0.01,2.88520904987148,0.999766540087379,1.33339294635261e-38,0,0.0316557211211826,25,"hier",5,3
"13","5yrs20ages",0.198114434959158,0.118604243097112,0.0525328180515397,2.515854598953,0.970039756390115,NA,NA,NA,5,"hier",2,4
