"","rowname","phi1","phi2","phi3","phi4","phi5","phi6","phi7","phi8","phi9","phi10","ve","sigma2","rho","tslength","approach","maxE","iter"
"33","10yrs10ages",0.141566868174662,0.0727203321849693,2.53475532259366e-19,NA,NA,NA,NA,NA,NA,NA,0.01,3.13414503490491,0.984812883575858,10,"hier",3,7
"34","20yrs5ages",0.113429462865413,0.0763164168149723,2.55465874380976e-31,0.125898270246843,NA,NA,NA,NA,NA,NA,0.01,2.17768993835804,0.997171934756644,20,"hier",4,7
"35","25yrs4ages",0.110197049840987,0.0234042323150594,0.00781959224647044,7.03624490506524e-32,0.0277606848059441,NA,NA,NA,NA,NA,0.01,2.8322802838455,0.999544870429541,25,"hier",5,7
"36","N_total",0.0177393603199681,0,0.0144523826066166,1.96916761832615e-18,0.0253978499436587,0,0,0.0138381189001594,0.0112678288928692,0,0.01,3.20392205110919,0.499999826518018,100,"TAindex",10,8
"37","5yrs20ages",1.15451603761282,1.08449481366218,NA,NA,NA,NA,NA,NA,NA,NA,0.0283308552959363,1.05420067799895,0.99320294870248,5,"hier",2,8
"38","10yrs10ages",0.188887772351409,0.100699793434694,7.84533284233429e-82,NA,NA,NA,NA,NA,NA,NA,0.01,2.80091949566844,0.987939957454164,10,"hier",3,8
"39","20yrs5ages",0.132672567851064,0.0939922190372815,4.57071195040634e-52,0.11215897650959,NA,NA,NA,NA,NA,NA,0.01,1.96234618386118,0.997904823351191,20,"hier",4,8
"40","25yrs4ages",0.112183822086279,0.0316404273649636,1.92671142120956e-08,7.03624490506524e-32,0.0314668253748984,NA,NA,NA,NA,NA,0.01,2.90080254887351,0.999589670871449,25,"hier",5,8
"41","N_total",0.0170892579524772,0,0.0151085066967311,3.78996222093399e-41,0.0278773829475891,1.98090067507582e-196,0,0.0110837810931096,0.0134042789766093,0,0.01,3.21982933655308,0.500000076493016,100,"TAindex",10,9
"42","5yrs20ages",0.363270987725502,0.662752654462812,NA,NA,NA,NA,NA,NA,NA,NA,0.0498910451349339,1.64907506257272,0.978709801419363,5,"hier",2,9
"43","10yrs10ages",0.128991197942501,0.112416417816217,1.80376574693465e-52,NA,NA,NA,NA,NA,NA,NA,0.01,2.86383847661165,0.981390137955197,10,"hier",3,9
"44","20yrs5ages",0.0883901324502288,0.067865121691192,2.41879924141846e-191,0.178424872754361,NA,NA,NA,NA,NA,NA,0.01,2.11496072597975,0.995475490789525,20,"hier",4,9
"45","25yrs4ages",0.101291363924955,0.0180893287038595,0.0108198884166188,7.99557348249304e-08,0.0235709318129955,NA,NA,NA,NA,NA,0.01,2.88990223940384,0.999570234288945,25,"hier",5,9
"46","N_total",0.0177428134377869,0,0.014315956762656,1.20314729461134e-06,0.0252531142851808,0,0,0.0140542061810971,0.0112357869099868,0,0.01,3.20041212988085,0.499999826518018,100,"TAindex",10,10
"47","5yrs20ages",1.17576956290309,0.911248528842038,NA,NA,NA,NA,NA,NA,NA,NA,0.0288393747588203,1.04709761919528,0.993437885821916,5,"hier",2,10
"48","10yrs10ages",0.19180723390445,0.0967543381424821,6.40938985379945e-44,NA,NA,NA,NA,NA,NA,NA,0.01,2.82651979929972,0.987732988554067,10,"hier",3,10
"49","20yrs5ages",0.135490689693222,0.091045790495084,0,0.109707014263771,NA,NA,NA,NA,NA,NA,0.01,1.9996437503495,0.997815075308343,20,"hier",4,10
"50","25yrs4ages",0.113536404655038,0.0303567028592092,0.00100208584896622,1.61707458300477e-44,0.0311878937191601,NA,NA,NA,NA,NA,0.01,2.88231527195142,0.999578387644278,25,"hier",5,10
"51","N_total",0.0165361747309962,2.45439049531655e-11,0.00660259549225001,0.0155032975267497,0.0158730942125466,0.0027920338038158,1.51312622474713e-10,0.0144811032670455,0.0147377265102137,1.83008347793943e-44,0.01,3.17922320688371,0.499999826518018,100,"TAindex",10,11
"52","5yrs20ages",0.386310879303003,0.659806750990302,NA,NA,NA,NA,NA,NA,NA,NA,0.0447082434691725,1.65138776115786,0.977024490505089,5,"hier",2,11
"53","10yrs10ages",0.124014339535587,0.106556457686779,6.13181367203582e-18,NA,NA,NA,NA,NA,NA,NA,0.01,2.90174612042296,0.98148169149145,10,"hier",3,11
"54","20yrs5ages",0.0865617486346051,0.0676321429642706,1.3389870243395e-16,0.179870396383985,NA,NA,NA,NA,NA,NA,0.01,2.12215412232124,0.995526834350651,20,"hier",4,11
"55","25yrs4ages",0.0992473767007511,0.0173767275996183,0.011122668990892,1.74709107957714e-10,0.0238112233235276,NA,NA,NA,NA,NA,0.01,2.89072594934935,0.999566161547692,25,"hier",5,11
"56","N_total",0.0173934983969547,0,0.0146980808586512,7.11281196891248e-17,0.0262224268679384,0,0,0.0129156440432821,0.0120743361340627,0,0.01,3.20601136549856,0.500000076493016,100,"TAindex",10,12
"57","5yrs20ages",1.18769659927008,1.49581607136901,NA,NA,NA,NA,NA,NA,NA,NA,0.0203798280935376,1.07240330810156,0.983771922794559,5,"hier",2,12
"58","10yrs10ages",0.132733963473076,0.0696679311904643,2.91314370861698e-62,NA,NA,NA,NA,NA,NA,NA,0.01,3.17007957047415,0.984205050369353,10,"hier",3,12
"59","20yrs5ages",0.0969429631821671,0.0730358436351689,0,0.148423198387053,NA,NA,NA,NA,NA,NA,0.01,2.18816635532667,0.996974235517666,20,"hier",4,12
"60","25yrs4ages",0.106422085925646,0.021451924835607,0.00847870489576789,6.3344192763725e-89,0.0278158255786513,NA,NA,NA,NA,NA,0.01,2.8505120242267,0.99954406554995,25,"hier",5,12
"61","N_total",0.0176326715368983,0,0.0153427120546788,3.81627536691363e-14,0.0289250404575718,1.9377318392247e-14,0,0.00970655813245013,0.0142409739871738,0,0.01,3.1738579933731,0.499999826518018,100,"TAindex",10,13
"62","5yrs20ages",1.7727151419463,2.1368178998512,NA,NA,NA,NA,NA,NA,NA,NA,0.0106704477464749,1.25121492082451,0.994078364645542,5,"hier",2,13
"63","10yrs10ages",0.144510281844473,0.0924784560346756,0.0172860281281255,NA,NA,NA,NA,NA,NA,NA,0.01,2.7454115849453,0.975934342379875,10,"hier",3,13
"64","20yrs5ages",0.0941086203313308,0.059495364335148,0.000835033665001535,0.185497528494213,NA,NA,NA,NA,NA,NA,0.01,2.13552251404433,0.995298799342686,20,"hier",4,13
"65","25yrs4ages",0.155008585399816,0.00958138181843724,0.0462567033344718,1.6272583798049e-222,1.05430155512793e-221,NA,NA,NA,NA,NA,0.01,2.92861256800482,0.999698302518937,25,"hier",5,13
