"","rowname","phi1","phi2","ve","sigma2","rho","phi3","phi4","phi5","model","tslength","approach","maxE","iter"
"68","25yrs4ages",0.0829507652055233,0.0297388019949205,0.01,2.12727963675936,0.99933134828073,0.0180261053620974,0,0.0827614894416312,"prey425",25,"hier",5,9
"69","5yrs20ages",0.143386459757894,4.34041723264643e-234,NA,NA,NA,NA,NA,NA,"prey205",5,"TAindex",2,9
"70","10yrs10ages",0.0866842041575226,0,NA,NA,NA,0.147677616119487,NA,NA,"prey1010",10,"TAindex",3,9
"71","20yrs5ages",0.301833886822472,0.0870058287205272,NA,NA,NA,0,0,NA,"prey520",20,"TAindex",4,9
"72","25yrs4ages",0.490467098366384,0.122719892784422,NA,NA,NA,1.62667546396292e-88,0,1.71039844560747e-292,"prey425",25,"TAindex",5,9
"73","5yrs20ages",1.20679263288684,0.711467268559621,0.0208178942444323,1.14338180887957,0.985404767877036,NA,NA,NA,"prey205",5,"hier",2,10
"74","10yrs10ages",0.0246257824729209,0.0121826137350267,0.01,2.82580802601898,0.990803776947246,0.132536116435462,NA,NA,"prey1010",10,"hier",3,10
"75","20yrs5ages",0.0155210541053527,0.0841315137774818,0.01,2.00696228960302,0.997107126100657,0.0114685631755891,0.0356110665891346,NA,"prey520",20,"hier",4,10
"76","25yrs4ages",0.0153730397414293,0.0827675593377822,0.01,1.59236159560314,0.997747182350129,0.0170871422760921,0.0600234946941561,2.06755749335277e-79,"prey425",25,"hier",5,10
"77","5yrs20ages",3.07993077038378e-74,2.33602441060288e-31,NA,NA,NA,NA,NA,NA,"prey205",5,"TAindex",2,10
"78","10yrs10ages",0.0285812988194022,0,NA,NA,NA,0.10250641188994,NA,NA,"prey1010",10,"TAindex",3,10
"79","20yrs5ages",0.0626928328335006,0.0067692733798438,NA,NA,NA,0.103056772708114,0,NA,"prey520",20,"TAindex",4,10
"80","25yrs4ages",3.24899846073244e-88,9.52274577415116e-88,NA,NA,NA,0.105960315789348,1.71039844560747e-292,0.0361497988881549,"prey425",25,"TAindex",5,10
"81","5yrs20ages",0.787285395789848,0.333700912665506,0.173403823605934,0.988122580550866,0.983688708283493,NA,NA,NA,"prey205",5,"hier",2,11
"82","10yrs10ages",0.0441318317541601,0.00191414147420689,0.0149716844437402,2.36598724828578,0.946673692063548,0.949882917604469,NA,NA,"prey1010",10,"hier",3,11
"83","20yrs5ages",0.0195975495236186,0.00528640622744835,0.01,1.43691095717967,0.975642366574542,0.796997378382761,0.0660991503112583,NA,"prey520",20,"hier",4,11
"84","25yrs4ages",0.0143070898909017,0.0158487977385823,0.01,1.25049722943262,0.989386761020122,0.790057070739038,0.0876873205810638,0,"prey425",25,"hier",5,11
"85","5yrs20ages",0.122912843945355,0,NA,NA,NA,NA,NA,NA,"prey205",5,"TAindex",2,11
"86","10yrs10ages",0.0625968386711148,0,NA,NA,NA,0.275614211204762,NA,NA,"prey1010",10,"TAindex",3,11
"87","20yrs5ages",0.142671617738802,0,NA,NA,NA,0.315651333543647,0,NA,"prey520",20,"TAindex",4,11
"88","25yrs4ages",0.235787054506182,0.215141889144603,NA,NA,NA,0.0226420876669188,0,0,"prey425",25,"TAindex",5,11
"89","5yrs20ages",1.21764770657095,0.223248290917268,0.0760566249031113,1.56884791753682,0.984992556328163,NA,NA,NA,"prey205",5,"hier",2,12
"90","10yrs10ages",0.0699825750246125,0.167638371571113,0.01,3.85682756642692,0.999149188489351,0.408670749326592,NA,NA,"prey1010",10,"hier",3,12
"91","20yrs5ages",0.0825148822624945,0.0331275064812181,0.01,2.62663447388641,0.991910351843865,0,0.235039050068626,NA,"prey520",20,"hier",4,12
"92","25yrs4ages",0.0812049030003608,0.0325908321837569,0.01,2.57686236616091,0.997279055923427,0.0119839485007962,4.64329622959346e-260,0.0618560782738369,"prey425",25,"hier",5,12
"93","5yrs20ages",3.85610819096255e-212,1.78640596158441e-46,NA,NA,NA,NA,NA,NA,"prey205",5,"TAindex",2,12
"94","10yrs10ages",0.101029739451297,4.67083182022235e-105,NA,NA,NA,0.17403937494274,NA,NA,"prey1010",10,"TAindex",3,12
"95","20yrs5ages",0.257184444768765,0.0810544113349208,NA,NA,NA,0,0,NA,"prey520",20,"TAindex",4,12
"96","25yrs4ages",0.927202735447213,0.154460972412754,NA,NA,NA,0,0,0,"prey425",25,"TAindex",5,12
"97","5yrs20ages",0.632631095777772,0.455338087197494,0.121881419075069,1.09738584311529,0.986235865195386,NA,NA,NA,"prey205",5,"hier",2,13
"98","10yrs10ages",0.04262491427808,0.00465647663925743,0.01,2.22829479327672,0.971408601032369,0.566144540170303,NA,NA,"prey1010",10,"hier",3,13
"99","20yrs5ages",0.00878395063943874,0.0516282218853383,0.01,1.7068438674194,0.994618959300789,0.171717752485815,0.0549599239316529,NA,"prey520",20,"hier",4,13
"100","25yrs4ages",0.00773230077437661,0.0531152289377621,0.01,1.47558261666856,0.994657380902267,0.214351232428392,0.0642927936267798,0,"prey425",25,"hier",5,13
"101","5yrs20ages",1.06686609080647e-08,1.98084884769608e-08,NA,NA,NA,NA,NA,NA,"prey205",5,"TAindex",2,13
"102","10yrs10ages",0.0289623574597277,0,NA,NA,NA,0.135063034352099,NA,NA,"prey1010",10,"TAindex",3,13
"103","20yrs5ages",0.114200960297711,4.21605240478594e-280,NA,NA,NA,0.200141098610987,0,NA,"prey520",20,"TAindex",4,13
"104","25yrs4ages",0.134432402566433,1.32824658718269e-147,NA,NA,NA,0.193391639575515,0,0,"prey425",25,"TAindex",5,13
"105","5yrs20ages",1.10442476109448,0.461177813842635,0.0355742351721953,1.07214086945539,0.977157848614294,NA,NA,NA,"prey205",5,"hier",2,14
"106","10yrs10ages",0.0257971635474693,0.0141356408649153,0.01,2.54779328939317,0.989014443112317,0.32328239345403,NA,NA,"prey1010",10,"hier",3,14
"107","20yrs5ages",0.0187230207502344,0.0490547480177158,0.01,2.35657405988182,0.996507098759971,8.95575689687982e-282,0.0542073520838811,NA,"prey520",20,"hier",4,14
"108","25yrs4ages",0.0240380684950144,0.0703899590883968,0.01,1.74804420297817,0.997914941319192,3.72053501421665e-82,0.0729422882082023,5.10802038180392e-82,"prey425",25,"hier",5,14
"109","5yrs20ages",0.0641100310798681,4.64329622959346e-260,NA,NA,NA,NA,NA,NA,"prey205",5,"TAindex",2,14
"110","10yrs10ages",0.0347613333987463,0,NA,NA,NA,0.101091597652485,NA,NA,"prey1010",10,"TAindex",3,14
"111","20yrs5ages",3.91594455636843e-16,0.145287938274429,NA,NA,NA,0.0797799857139912,0.0294521689112982,NA,"prey520",20,"TAindex",4,14
"112","25yrs4ages",0.0942671189272743,0.0979166388407929,NA,NA,NA,0.128254777367331,1.35445417874811e-234,0,"prey425",25,"TAindex",5,14
"113","5yrs20ages",0.914160004452545,0.190980476359751,0.0118819629167196,1.5272472769956,0.976682436679453,NA,NA,NA,"prey205",5,"hier",2,15
"114","10yrs10ages",0.424869369842712,0.195280637073729,0.0104003027945392,1.25934410808499,0.997522823915593,0.0372775541650625,NA,NA,"prey1010",10,"hier",3,15
"115","20yrs5ages",0.127056781360061,0.0358901352150396,0.01,2.89153516804927,0.999366991024044,0.0495045925566693,0.00984356502561123,NA,"prey520",20,"hier",4,15
"116","25yrs4ages",0.0465379597538069,0.0186121987022497,0.01,3.16853400418817,0.999770531057412,0.0363671446266944,0.014943320555257,0.0115880665624108,"prey425",25,"hier",5,15
"117","5yrs20ages",0.0118045161153028,1.24817241893004e-216,NA,NA,NA,NA,NA,NA,"prey205",5,"TAindex",2,15
"118","10yrs10ages",0.0158983535312511,1.72734147532588e-303,NA,NA,NA,0.10054942985348,NA,NA,"prey1010",10,"TAindex",3,15
"119","20yrs5ages",0.00962200057758335,2.49494429047213e-299,NA,NA,NA,0.0768997466544436,0,NA,"prey520",20,"TAindex",4,15
"120","25yrs4ages",0.0407208074503238,3.60897311473594e-31,NA,NA,NA,0.0304505592557298,3.32232308712775e-162,0.0687699831300001,"prey425",25,"TAindex",5,15
"121","5yrs20ages",1.26122297509651,0.296293939279761,0.01,1.09182899106056,0.985098293195752,NA,NA,NA,"prey205",5,"hier",2,16
"122","10yrs10ages",0.0124527751295502,1.95781929232472e-11,0.01,3.33926176516795,0.994703048986673,0.0878569051384053,NA,NA,"prey1010",10,"hier",3,16
"123","20yrs5ages",0.0150264392247869,0.0231482885916274,0.01,3.44481138645189,0.996803647072227,4.10322023412027e-05,0.0176703626887041,NA,"prey520",20,"hier",4,16
"124","25yrs4ages",3.07513416763541e-15,6.39505390933043e-16,0.01,2.97396720493902,0.995413432111075,0.037067085362106,0.00596478871891744,0.0244731145031128,"prey425",25,"hier",5,16
"125","5yrs20ages",0.117599618506229,0.115892746526788,NA,NA,NA,NA,NA,NA,"prey205",5,"TAindex",2,16
"126","10yrs10ages",0.0296311958561408,0,NA,NA,NA,0.053861821743982,NA,NA,"prey1010",10,"TAindex",3,16
"127","20yrs5ages",2.76309896567725e-109,0,NA,NA,NA,0.0234362264106362,0.0365808560544353,NA,"prey520",20,"TAindex",4,16
"128","25yrs4ages",2.38379870040001e-227,3.43195194124225e-52,NA,NA,NA,0.0621682897986795,2.92525522021782e-11,0.0279171256955973,"prey425",25,"TAindex",5,16
"129","5yrs20ages",0.938039997415873,0.425958666082989,0.0255436926157423,1.14175233296826,0.965765222405113,NA,NA,NA,"prey205",5,"hier",2,17
"130","10yrs10ages",0.153618027177052,0.21183834783958,0.01,3.54095056819527,0.998022278607093,1.26254724654265e-47,NA,NA,"prey1010",10,"hier",3,17
"131","20yrs5ages",0.110752757887182,0.041654943783992,0.01,3.18853270229284,0.999082748604305,2.9670325787381e-18,0.0454422751678662,NA,"prey520",20,"hier",4,17
"132","25yrs4ages",0.117514991926624,0.0346399992803688,0.01,2.28722130644941,0.99903827335157,0.0208252762893582,1.72734147532588e-303,0.0540632075939596,"prey425",25,"hier",5,17
"133","5yrs20ages",0.0583003455847733,0.0450935644545294,NA,NA,NA,NA,NA,NA,"prey205",5,"TAindex",2,17
"134","10yrs10ages",0.0759559944928528,2.38379870040001e-227,NA,NA,NA,0.137622792268057,NA,NA,"prey1010",10,"TAindex",3,17
"135","20yrs5ages",0.304721750147045,0.0705833325531392,NA,NA,NA,0.00846471787626588,0,NA,"prey520",20,"TAindex",4,17
"136","25yrs4ages",0.436116087839414,0.0781976356469025,NA,NA,NA,0.0133201041822617,1.59938605565745e-14,2.40741236324407e-238,"prey425",25,"TAindex",5,17
"137","5yrs20ages",1.25967826206889,2.75960038179612,0.01,2.12494646633351,0.985805205177403,NA,NA,NA,"prey205",5,"hier",2,18
"138","10yrs10ages",0.337151164447374,0.22313860020014,0.01,1.67229250920712,0.998550321465353,0.510302649149007,NA,NA,"prey1010",10,"hier",3,18
"139","20yrs5ages",0.121033102448852,0.128124078935187,0.01,1.47705744638003,0.998161192877837,0,0.103663347114416,NA,"prey520",20,"hier",4,18
"140","25yrs4ages",6.81447810250683e-213,0.00382524396071233,0.01,1.89895814646117,0.996024991976821,0.187944563493923,0.00843296295412363,0.0429510523036093,"prey425",25,"hier",5,18
"141","5yrs20ages",0,1.30158209327295e-09,NA,NA,NA,NA,NA,NA,"prey205",5,"TAindex",2,18
"142","10yrs10ages",0.0449507222805347,0,NA,NA,NA,0.173200438771897,NA,NA,"prey1010",10,"TAindex",3,18
"143","20yrs5ages",0.0108204353536427,9.80542730210157e-76,NA,NA,NA,0.0243207974598919,0.148489061516133,NA,"prey520",20,"TAindex",4,18
"144","25yrs4ages",1.14325351148341e-83,0.179212578602905,NA,NA,NA,0.0209694464284048,0.141463240816659,1.14325351148341e-83,"prey425",25,"TAindex",5,18
"145","5yrs20ages",0.702284653517286,1.32047463620078,0.0580408879416646,1.34765903265639,0.992488362625718,NA,NA,NA,"prey205",5,"hier",2,19
"146","10yrs10ages",0.0485073810427544,0.0257837683003519,0.01,2.2471582620524,0.985965427414958,0.450375042362374,NA,NA,"prey1010",10,"hier",3,19
"147","20yrs5ages",0.0272364243611495,0.0711918189410767,0.01,2.35437617205755,0.995887787764171,3.36546568690145e-117,0.0496009026208959,NA,"prey520",20,"hier",4,19
"148","25yrs4ages",0.020146984994322,0.0955143102445729,0.01,2.02312881072626,0.998556016297123,1.40724449862446e-238,0.0628123616202415,0.00266668659635802,"prey425",25,"hier",5,19
"149","5yrs20ages",0.0286955702381474,0,NA,NA,NA,NA,NA,NA,"prey205",5,"TAindex",2,19
"150","10yrs10ages",0.0470471217121195,0,NA,NA,NA,0.131795969138401,NA,NA,"prey1010",10,"TAindex",3,19
"151","20yrs5ages",3.32232308712775e-162,0.10496821860279,NA,NA,NA,0.0616728078306493,0.0201729467280499,NA,"prey520",20,"TAindex",4,19
"152","25yrs4ages",0,2.64693184734095e-105,NA,NA,NA,0.1657287107907,0,0.0607595393091437,"prey425",25,"TAindex",5,19
"153","5yrs20ages",3.29931317773513,3.32677044858497,0.01,2.86873644763913,0.999757290040709,NA,NA,NA,"prey205",5,"hier",2,20
"154","10yrs10ages",0.0682329343993739,0.054720947436373,0.01,3.86528659824774,0.998593703031909,0.24398997840244,NA,NA,"prey1010",10,"hier",3,20
"155","20yrs5ages",0.184622397621148,0.139524277200529,0.01,1.39916364528985,0.998236081618891,0,0.113333360811487,NA,"prey520",20,"hier",4,20
"156","25yrs4ages",0.098705000212055,0.131369083278617,0.01,2.42367261275642,0.998982685078256,3.67324802432554e-22,2.21746004556905e-118,0.0241597829682152,"prey425",25,"hier",5,20
"157","5yrs20ages",0.119314621592754,9.83842735295412e-59,NA,NA,NA,NA,NA,NA,"prey205",5,"TAindex",2,20
"158","10yrs10ages",0.0841510755697917,0,NA,NA,NA,0.184683121250974,NA,NA,"prey1010",10,"TAindex",3,20
"159","20yrs5ages",0.185068263513004,0.244830664256874,NA,NA,NA,0.00182741186901767,6.37605406005444e-69,NA,"prey520",20,"TAindex",4,20
"160","25yrs4ages",0.503424746480444,0.204947497241358,NA,NA,NA,1.02844856144034e-285,4.89432567545723e-286,6.00190253822691e-286,"prey425",25,"TAindex",5,20
"161","5yrs20ages",0.840246245424436,0.314500939597201,0.019666170971825,1.44334455324963,0.975800875105704,NA,NA,NA,"prey205",5,"hier",2,21
"162","10yrs10ages",0.0976815852201549,0.143323200563702,0.01,3.66181369732155,0.998683544970283,0.00268835004572617,NA,NA,"prey1010",10,"hier",3,21
"163","20yrs5ages",0.0600378573440526,0.0254338373452558,0.01,2.79062366054772,0.996839056986642,2.17405404310917e-19,0.0563888758926906,NA,"prey520",20,"hier",4,21
"164","25yrs4ages",0.0694486263657505,0.0143977262534485,0.01,3.04251576756648,0.998679759464072,0.0150197620751311,8.04924434068137e-05,0.0100873449376352,"prey425",25,"hier",5,21
"165","5yrs20ages",9.01926115728654e-130,1.08484725140572e-10,NA,NA,NA,NA,NA,NA,"prey205",5,"TAindex",2,21
"166","10yrs10ages",0.063518226522141,1.72252668775837e-140,NA,NA,NA,0.101442560446073,NA,NA,"prey1010",10,"TAindex",3,21
"167","20yrs5ages",0.15118148522361,0.066020354666851,NA,NA,NA,6.19199738804643e-08,0,NA,"prey520",20,"TAindex",4,21
"168","25yrs4ages",0.176226635612045,0.045796183921024,NA,NA,NA,0.0122520210956312,1.73958985858633e-151,1.73958985858633e-151,"prey425",25,"TAindex",5,21
"169","5yrs20ages",1.01232404036707,0.64249878482335,0.0155478655456878,1.15095432745238,0.978447248353828,NA,NA,NA,"prey205",5,"hier",2,22
"170","10yrs10ages",0.13036056925371,0.147899059078202,0.01,3.57442317769943,0.998201055311653,9.23211680602165e-113,NA,NA,"prey1010",10,"hier",3,22
"171","20yrs5ages",0.102957977602347,0.0247942611501094,0.01,2.77506711012857,0.997485567251986,4.71022102939469e-50,0.0604419619656137,NA,"prey520",20,"hier",4,22
"172","25yrs4ages",0.174000494882895,0.0328929580501963,0.01,2.84562804441917,0.999507390928336,0.0245945732697608,1.40192368273802e-47,0.0040607758034691,"prey425",25,"hier",5,22
"173","5yrs20ages",0,7.26006016219645e-16,NA,NA,NA,NA,NA,NA,"prey205",5,"TAindex",2,22
"174","10yrs10ages",0.0747697021622822,3.32232308712775e-162,NA,NA,NA,0.113678150120979,NA,NA,"prey1010",10,"TAindex",3,22
"175","20yrs5ages",0.227394948037676,0.0657351605080741,NA,NA,NA,0.0104514182659962,0,NA,"prey520",20,"TAindex",4,22
"176","25yrs4ages",0.240775342882101,0.0514437299228977,NA,NA,NA,0.0155980884709378,1.25979680706037e-99,1.72734147532588e-303,"prey425",25,"TAindex",5,22
"177","5yrs20ages",1.02874255969224,0.281550029101217,0.0429105689522776,1.44024577836562,0.974877428399485,NA,NA,NA,"prey205",5,"hier",2,23
"178","10yrs10ages",0.161538760681041,0.751496298545593,0.01,3.45631717320037,0.9990738996653,1.6841603438779e-229,NA,NA,"prey1010",10,"hier",3,23
"179","20yrs5ages",0.0848163505763512,0.0252324145923988,0.01,2.65202027425331,0.996709794933381,1.49546128105082e-269,0.166370616005954,NA,"prey520",20,"hier",4,23
"180","25yrs4ages",0.0954006451573148,0.0207708639198718,0.01,2.72881775336641,0.999090053312615,0.0154342476631807,6.47140644105648e-195,0.044594179292855,"prey425",25,"hier",5,23
"181","5yrs20ages",0.0514554703657484,6.42305402590965e-09,NA,NA,NA,NA,NA,NA,"prey205",5,"TAindex",2,23
"182","10yrs10ages",0.085824677760098,9.51347071333902e-126,NA,NA,NA,0.169132571636422,NA,NA,"prey1010",10,"TAindex",3,23
"183","20yrs5ages",0.290752143908755,0.104914053694099,NA,NA,NA,0,0,NA,"prey520",20,"TAindex",4,23
