"","rowname","iter","sim","approach","value"
"100","rmse",17,"I","fit_all_stats",0.0496525799581936
"101","rmse",17,"I","fitsumStats",0.00788141417525759
"102","rmse",17,"I","fit_NT_stats",0.00761238382721561
"103","R2",18,"I","fit_all_stats",0.999538018102242
"104","R2",18,"I","fitsumStats",0.999448831511133
"105","R2",18,"I","fit_NT_stats",0.999488962325616
"106","rmse",18,"I","fit_all_stats",0.0428388897149287
"107","rmse",18,"I","fitsumStats",0.00854365315525988
"108","rmse",18,"I","fit_NT_stats",0.00822674200780722
"109","R2",19,"I","fit_all_stats",0.999747459240985
"110","R2",19,"I","fitsumStats",0.999540438270822
"111","R2",19,"I","fit_NT_stats",0.999399965971144
"112","rmse",19,"I","fit_all_stats",0.0264092485847953
"113","rmse",19,"I","fitsumStats",0.00588517063488898
"114","rmse",19,"I","fit_NT_stats",0.00672473340975347
"115","R2",20,"I","fit_all_stats",0.999702805728858
"116","R2",20,"I","fitsumStats",0.999371733352172
"117","R2",20,"I","fit_NT_stats",0.999403903000402
"118","rmse",20,"I","fit_all_stats",0.0297920748292202
"119","rmse",20,"I","fitsumStats",0.00790055503926915
"120","rmse",20,"I","fit_NT_stats",0.00769562803659198
"121","R2",21,"I","fit_all_stats",0.99950282874162
"122","R2",21,"I","fitsumStats",0.999722783175448
"123","R2",21,"I","fit_NT_stats",0.999644113793997
"124","rmse",21,"I","fit_all_stats",0.0478108035650974
"125","rmse",21,"I","fitsumStats",0.0072501532986541
"126","rmse",21,"I","fit_NT_stats",0.00821472396904803
"127","R2",22,"I","fit_all_stats",0.999640185119267
"128","R2",22,"I","fitsumStats",0.999810762794685
"129","R2",22,"I","fit_NT_stats",0.999623337991914
"130","rmse",22,"I","fit_all_stats",0.0356735272162347
"131","rmse",22,"I","fitsumStats",0.00518545266052163
"132","rmse",22,"I","fit_NT_stats",0.00731575781106489
"133","R2",23,"I","fit_all_stats",0.999505719532311
"134","R2",23,"I","fitsumStats",0.999772789298805
"135","R2",23,"I","fit_NT_stats",0.999602347700411
"136","rmse",23,"I","fit_all_stats",0.0455805278921558
"137","rmse",23,"I","fitsumStats",0.0062054523076525
"138","rmse",23,"I","fit_NT_stats",0.00820938834272828
"139","R2",24,"I","fit_all_stats",0.999819670942616
"140","R2",24,"I","fitsumStats",0.999503852179665
"141","R2",24,"I","fit_NT_stats",0.999379212957751
"142","rmse",24,"I","fit_all_stats",0.0207717290986693
"143","rmse",24,"I","fitsumStats",0.00550942362300401
"144","rmse",24,"I","fit_NT_stats",0.00616271302340129
"145","R2",25,"I","fit_all_stats",0.999564423505072
"146","R2",25,"I","fitsumStats",0.999249681886517
"147","R2",25,"I","fit_NT_stats",0.999409237365946
"148","rmse",25,"I","fit_all_stats",0.0408056538561214
"149","rmse",25,"I","fitsumStats",0.00930721079080303
"150","rmse",25,"I","fit_NT_stats",0.00825854127437452
"151","R2",26,"I","fit_all_stats",0.999823249690509
"152","R2",26,"I","fitsumStats",0.999512984743473
"153","R2",26,"I","fit_NT_stats",0.999381104064515
"154","rmse",26,"I","fit_all_stats",0.0204956738956984
"155","rmse",26,"I","fitsumStats",0.00544773617202843
"156","rmse",26,"I","fit_NT_stats",0.00614120505985149
"157","R2",27,"I","fit_all_stats",0.999442561516828
"158","R2",27,"I","fitsumStats",0.999590995972257
"159","R2",27,"I","fit_NT_stats",0.999701991373602
"160","rmse",27,"I","fit_all_stats",0.0522035739428931
"161","rmse",27,"I","fitsumStats",0.00832195083589567
"162","rmse",27,"I","fit_NT_stats",0.00710355538949286
"163","R2",28,"I","fit_all_stats",0.999602344373029
"164","R2",28,"I","fitsumStats",0.999602423530759
"165","R2",28,"I","fit_NT_stats",0.999566544122914
"166","rmse",28,"I","fit_all_stats",0.0379940358189265
"167","rmse",28,"I","fitsumStats",0.00731522503323305
"168","rmse",28,"I","fit_NT_stats",0.00763817847901601
"169","R2",29,"I","fit_all_stats",0.999485419291497
"170","R2",29,"I","fitsumStats",0.999632797014999
"171","R2",29,"I","fit_NT_stats",0.999669776637438
"172","rmse",29,"I","fit_all_stats",0.0497677407060186
"173","rmse",29,"I","fitsumStats",0.00805020206139872
"174","rmse",29,"I","fit_NT_stats",0.00763409530772519
"175","R2",30,"I","fit_all_stats",0.9995413249114
"176","R2",30,"I","fitsumStats",0.999465940154372
"177","R2",30,"I","fit_NT_stats",0.999498766260556
"178","rmse",30,"I","fit_all_stats",0.0427511526114888
"179","rmse",30,"I","fitsumStats",0.00847588236202946
"180","rmse",30,"I","fit_NT_stats",0.00821126571310898
"181","R2",31,"I","fit_all_stats",0.999730254193179
"182","R2",31,"I","fitsumStats",0.999517010403263
"183","R2",31,"I","fit_NT_stats",0.999360052165782
"184","rmse",31,"I","fit_all_stats",0.0277024682663351
"185","rmse",31,"I","fitsumStats",0.00633178642181323
"186","rmse",31,"I","fit_NT_stats",0.00728835731192668
"187","R2",32,"I","fit_all_stats",0.999626797079925
"188","R2",32,"I","fitsumStats",0.999732837324234
"189","R2",32,"I","fit_NT_stats",0.999604362215293
"190","rmse",32,"I","fit_all_stats",0.0365735328221258
"191","rmse",32,"I","fitsumStats",0.00609763221478604
"192","rmse",32,"I","fit_NT_stats",0.00742031282066197
"193","R2",33,"I","fit_all_stats",0.999458855767189
"194","R2",33,"I","fitsumStats",0.999615392474998
"195","R2",33,"I","fit_NT_stats",0.999687665884022
"196","rmse",33,"I","fit_all_stats",0.0512449248965393
"197","rmse",33,"I","fitsumStats",0.0081535093977046
"198","rmse",33,"I","fit_NT_stats",0.00734759821111342
"199","R2",34,"I","fit_all_stats",0.999624518198805
"200","R2",34,"I","fitsumStats",0.999721984375848
"201","R2",34,"I","fit_NT_stats",0.999604239397357
"202","rmse",34,"I","fit_all_stats",0.0367071050144378
"203","rmse",34,"I","fitsumStats",0.00621226823579903
"204","rmse",34,"I","fit_NT_stats",0.0074119396960593
"205","R2",35,"I","fit_all_stats",0.999564137014812
"206","R2",35,"I","fitsumStats",0.999250822961858
"207","R2",35,"I","fit_NT_stats",0.999409911941294
"208","rmse",35,"I","fit_all_stats",0.0408046558083453
"209","rmse",35,"I","fitsumStats",0.00929845741356475
"210","rmse",35,"I","fit_NT_stats",0.00825233957503177
"211","R2",36,"I","fit_all_stats",0.999405102112529
"212","R2",36,"I","fitsumStats",0.99882653161147
"213","R2",36,"I","fit_NT_stats",0.99938547436858
"214","rmse",36,"I","fit_all_stats",0.0562887826586667
"215","rmse",36,"I","fitsumStats",0.0124266182230852
"216","rmse",36,"I","fit_NT_stats",0.00899264106818935
"217","R2",37,"I","fit_all_stats",0.999473731356719
"218","R2",37,"I","fitsumStats",0.999636493622773
"219","R2",37,"I","fit_NT_stats",0.999677780969764
"220","rmse",37,"I","fit_all_stats",0.0504154698179592
"221","rmse",37,"I","fitsumStats",0.00797596562782233
"222","rmse",37,"I","fit_NT_stats",0.00750935869778948
"223","R2",38,"I","fit_all_stats",0.999502264548064
"224","R2",38,"I","fitsumStats",0.999302441866512
"225","R2",38,"I","fit_NT_stats",0.999541433875044
"226","rmse",38,"I","fit_all_stats",0.0506286735005066
"227","rmse",38,"I","fitsumStats",0.00998839964170197
"228","rmse",38,"I","fit_NT_stats",0.00809853925625918
"229","R2",39,"I","fit_all_stats",0.999564919517545
"230","R2",39,"I","fitsumStats",0.999252459318817
"231","R2",39,"I","fit_NT_stats",0.999410665632732
"232","rmse",39,"I","fit_all_stats",0.0407450832935648
"233","rmse",39,"I","fitsumStats",0.0092867243873556
"234","rmse",39,"I","fit_NT_stats",0.00824567141912271
"235","R2",40,"I","fit_all_stats",0.999523868566588
"236","R2",40,"I","fitsumStats",0.99966858562525
"237","R2",40,"I","fit_NT_stats",0.999646758415318
"238","rmse",40,"I","fit_all_stats",0.0476085644860323
"239","rmse",40,"I","fitsumStats",0.00774243753137442
"240","rmse",40,"I","fit_NT_stats",0.00799333383729501
"241","R2",41,"I","fit_all_stats",0.999488369609917
"242","R2",41,"I","fitsumStats",0.999689685042795
"243","R2",41,"I","fit_NT_stats",0.999550948664299
"244","rmse",41,"I","fit_all_stats",0.0458868032800487
"245","rmse",41,"I","fitsumStats",0.00697381448336247
"246","rmse",41,"I","fit_NT_stats",0.00838913207590273
"247","R2",42,"I","fit_all_stats",0.999623210794125
"248","R2",42,"I","fitsumStats",0.999715561796379
"249","R2",42,"I","fit_NT_stats",0.999593121410446
"250","rmse",42,"I","fit_all_stats",0.0367846376153994
"251","rmse",42,"I","fitsumStats",0.00627843784615486
"252","rmse",42,"I","fit_NT_stats",0.00750913745834219
"253","R2",43,"I","fit_all_stats",0.99959136474325
"254","R2",43,"I","fitsumStats",0.999466903448004
"255","R2",43,"I","fit_NT_stats",0.999521895989223
"256","rmse",43,"I","fit_all_stats",0.0387379265577076
"257","rmse",43,"I","fitsumStats",0.00829680924555935
"258","rmse",43,"I","fit_NT_stats",0.00785722811371008
"259","R2",44,"I","fit_all_stats",0.999524611945043
"260","R2",44,"I","fitsumStats",0.999669470264704
"261","R2",44,"I","fit_NT_stats",0.999644556365505
"262","rmse",44,"I","fit_all_stats",0.0475374070810477
"263","rmse",44,"I","fitsumStats",0.00774316429002601
"264","rmse",44,"I","fit_NT_stats",0.00802968625888882
"265","R2",45,"I","fit_all_stats",0.999527637409273
"266","R2",45,"I","fitsumStats",0.999376757367647
"267","R2",45,"I","fit_NT_stats",0.999458477066962
"268","rmse",45,"I","fit_all_stats",0.0430673780420804
"269","rmse",45,"I","fitsumStats",0.00883103523711856
"270","rmse",45,"I","fit_NT_stats",0.00823173664487493
"271","R2",46,"I","fit_all_stats",0.999441004782258
"272","R2",46,"I","fitsumStats",0.999500879924042
"273","R2",46,"I","fit_NT_stats",0.999708274436143
"274","rmse",46,"I","fit_all_stats",0.0526776494501356
"275","rmse",46,"I","fitsumStats",0.00898005695738522
"276","rmse",46,"I","fit_NT_stats",0.00686536791232885
"277","R2",47,"I","fit_all_stats",0.999700480483341
"278","R2",47,"I","fitsumStats",0.999322740036916
"279","R2",47,"I","fit_NT_stats",0.999442070781523
"280","rmse",47,"I","fit_all_stats",0.0301125720033235
"281","rmse",47,"I","fitsumStats",0.0084135851946116
"282","rmse",47,"I","fit_NT_stats",0.00763647524547603
"283","R2",48,"I","fit_all_stats",0.999999321816196
"284","R2",48,"I","fitsumStats",0.999945273156189
"285","R2",48,"I","fit_NT_stats",0.999885702795608
"286","rmse",48,"I","fit_all_stats",0.00106145318382657
"287","rmse",48,"I","fitsumStats",0.000146900253320324
"288","rmse",48,"I","fit_NT_stats",0.000212295186648461
"289","R2",49,"I","fit_all_stats",0.999653389324307
"290","R2",49,"I","fitsumStats",0.999647482761827
"291","R2",49,"I","fit_NT_stats",0.999659678439229
"292","rmse",49,"I","fit_all_stats",0.0343997307416139
"293","rmse",49,"I","fitsumStats",0.00708126928691928
"294","rmse",49,"I","fit_NT_stats",0.00695769941879059
