"","iter","mean_pairwisedist","sd_pairwisedist","mean_rho","sd_rho","sim"
"145","45",1,0,0.525,0,"II"
"146","46",1,0,0.525,0,"II"
"147","47",1,0,0.525,0,"II"
"148","48",1,0,0.525,0,"II"
"149","49",1,0,0.525,0,"II"
"150","50",1,0,0.525,0,"II"
"151","51",1,0,0.525,0,"II"
"152","52",1,0,0.525,0,"II"
"153","53",1,0,0.525,0,"II"
"154","54",1,0,0.525,0,"II"
"155","55",1,0,0.525,0,"II"
"156","56",1,0,0.525,0,"II"
"157","57",1,0,0.525,0,"II"
"158","58",1,0,0.525,0,"II"
"159","59",1,0,0.525,0,"II"
"160","60",1,0,0.525,0,"II"
"161","61",1,0,0.525,0,"II"
"162","62",1,0,0.525,0,"II"
"163","63",1,0,0.525,0,"II"
"164","64",1,0,0.525,0,"II"
"165","65",1,0,0.525,0,"II"
"166","66",1,0,0.525,0,"II"
"167","67",1,0,0.525,0,"II"
"168","68",1,0,0.525,0,"II"
"169","69",1,0,0.525,0,"II"
"170","70",1,0,0.525,0,"II"
"171","71",1,0,0.525,0,"II"
"172","72",1,0,0.525,0,"II"
"173","73",1,0,0.525,0,"II"
"174","74",1,0,0.525,0,"II"
"175","75",1,0,0.525,0,"II"
"176","76",1,0,0.525,0,"II"
"177","77",1,0,0.525,0,"II"
"178","78",1,0,0.525,0,"II"
"179","79",1,0,0.525,0,"II"
"180","80",1,0,0.525,0,"II"
"181","81",1,0,0.525,0,"II"
"182","82",1,0,0.525,0,"II"
"183","83",1,0,0.525,0,"II"
"184","84",1,0,0.525,0,"II"
"185","85",1,0,0.525,0,"II"
"186","86",1,0,0.525,0,"II"
"187","87",1,0,0.525,0,"II"
"188","88",1,0,0.525,0,"II"
"189","89",1,0,0.525,0,"II"
"190","90",1,0,0.525,0,"II"
"191","91",1,0,0.525,0,"II"
"192","92",1,0,0.525,0,"II"
"193","93",1,0,0.525,0,"II"
"194","94",1,0,0.525,0,"II"
"195","95",1,0,0.525,0,"II"
"196","96",1,0,0.525,0,"II"
"197","97",1,0,0.525,0,"II"
"198","98",1,7.20407827307146e-17,0.525,7.03844513774606e-17,"II"
"199","99",1,0,0.525,0,"II"
"200","100",1,0,0.525,0,"II"
"201","1",1,0,0.525,0,"III"
"202","2",1,0,0.525,0,"III"
"203","3",1,0,0.525,0,"III"
"204","4",1,0,0.525,0,"III"
"205","5",1,0,0.525,0,"III"
"206","6",1,0,0.525,0,"III"
"207","7",1,0,0.525,0,"III"
"208","8",1,0,0.525,0,"III"
"209","9",1,0,0.525,0,"III"
"210","10",1,0,0.525,0,"III"
"211","11",1,0,0.525,0,"III"
"212","12",1,0,0.525,0,"III"
"213","13",1,0,0.525,0,"III"
"214","14",1,0,0.525,0,"III"
"215","15",1,0,0.525,0,"III"
"216","16",1,0,0.525,0,"III"
"217","17",1,0,0.525,0,"III"
"218","18",1,0,0.525,0,"III"
"219","19",1,0,0.525,0,"III"
"220","20",1,0,0.525,0,"III"
