"","index","age","OOS_R2","OOS_rmse","R2","rmse","model","ln_post","lnL_LOO","df","age class","rho"
"2077","34","11",0.99497094665631,0.697246964305569,0.998908680414075,0.396071193496349,"IndvAge",-1.09383333966479,21.611932081168,9.12490240207708,"V19",NA
"2078","34","12",0.995771061594685,0.710842623718006,0.999179382003143,0.348221860387552,"IndvAge",-1.09886379295007,21.6974998495355,9.17501706101844,"V2",NA
"2079","34","13",0.995837342760208,0.734781101826751,0.998880484063356,0.403125530983827,"IndvAge",-1.39673827608886,21.2098288637203,9.22572832555097,"V20",NA
"2080","34","14",0.992475812092993,0.817655282581087,0.999245031262628,0.334656030886311,"IndvAge",-0.576548867379353,22.1064322677147,9.0625814995541,"V3",NA
"2081","34","15",0.992967362553696,0.825974726236528,0.999091577075694,0.366150649463159,"IndvAge",-0.490302319699245,22.1609922923653,9.03519247869287,"V4",NA
"2082","34","16",0.994586452061891,0.833903554843291,0.99900460291745,0.384879501335735,"IndvAge",-0.933959866597903,21.7759715477474,9.1567554767664,"V5",NA
"2083","34","17",0.995750717918304,0.836536327053599,0.999128625436937,0.362764508703431,"IndvAge",-1.240388111867,21.766109218618,9.24974714261816,"V6",NA
"2084","34","18",0.996529457522305,0.823740059225833,0.999242603853016,0.341481175569187,"IndvAge",-1.3611048806601,21.8790217084281,9.27752946044845,"V7",NA
"2085","34","19",0.997087865356526,0.78506511795824,0.999291143406303,0.333817923930514,"IndvAge",-1.2913598380166,22.0230410329279,9.24615537687843,"V8",NA
"2086","34","20",0.997287803059452,0.74974198155285,0.999269786129828,0.342069255019725,"IndvAge",-1.07243891357311,22.144600085992,9.18574086448816,"V9",NA
"2087","34","1",0.971794250126641,0.157196995830396,0.999020256451171,0.0292975715229965,"Mixed",26.8931776121158,47.8913196817523,7.36463651650251,"V1",NA
"2088","34","2",0.996735958837727,0.0584719554223154,0.998993543331026,0.0324688827807102,"Mixed",19.5225458744891,47.9889252790166,9.71641740457082,"V10",NA
"2089","34","3",0.999330809411186,0.0251444848127889,0.999555252163295,0.0204986259927468,"Mixed",36.539274548672,55.261006567745,3.04468946060054,"V11",NA
"2090","34","4",0.998958952586424,0.0288718966356353,0.999508165589827,0.0198449274012723,"Mixed",36.7480599958553,55.1681015449276,3.04322991273675,"V12",NA
"2091","34","5",0.999130304597754,0.0264942833933977,0.999593544784802,0.0181123557830603,"Mixed",36.8177291038722,55.2773998376517,3.04441223372437,"V13",NA
"2092","34","6",0.999270567856522,0.024618746953639,0.999687096886002,0.0161242097292488,"Mixed",36.8788901790887,55.3752242864807,3.05183848568864,"V14",NA
"2093","34","7",0.999258606791708,0.0251116546261584,0.999658940813561,0.0170320100190923,"Mixed",36.8438201909209,55.3530421986167,3.04467405540788,"V15",NA
"2094","34","8",0.999240019765921,0.0259291362631132,0.999557056123072,0.0197952619334417,"Mixed",36.6923911495519,55.2725086860581,3.03152449186047,"V16",NA
"2095","34","9",0.999177045129066,0.0277597479000696,0.999433885082806,0.0230239486018412,"Mixed",36.3732343850367,55.1268742061363,3.02615032271973,"V17",NA
"2096","34","10",0.99903774971564,0.0291808580466482,0.999328853546766,0.0243704014659188,"Mixed",36.2726554342673,55.0359351360877,3.02218539646696,"V18",NA
"2097","34","11",0.999159182730975,0.0275478722610586,0.999402532083491,0.0232217285248746,"Mixed",36.3367619587564,55.1227866131345,3.02906490149415,"V19",NA
