"","index","recnoise1","recnoise2","meanpeaks","varprey","meanPeriod","sdperiod"
"1","1",1.74932844593254,-1.89696517119276,0.4,87331.8357160648,36.82,2.55808316394995
"2","2",0.697497842210002,0.551410379953441,0.1,8740.54303738882,20.5194444444444,0.0271866936072004
"3","3",-0.837569630775158,-0.894155146472527,1.15,447.862678175261,7.04424603174603,0.0153087958356776
"4","4",2.03800687265614,-0.579092871155075,0.5,120528.669869236,46.7291666666667,1.60565407233314
"5","5",-0.148319043200921,0.222171233720813,1.45,1191.458929034,6.22724597939085,0.190113821620387
"6","6",NA,NA,NA,NA,NA,NA
"7","7",NA,NA,NA,NA,NA,NA
"8","8",0.0210980790396432,-1.50773505320999,0.75,4745.91635527138,27.3392857142857,2.00521272888373
"9","9",NA,NA,NA,NA,NA,NA
"10","10",0.103089616224841,-1.80396302986784,0.35,6713.10365436935,29.84,0.541343358303164
"11","11",NA,NA,NA,NA,NA,NA
"12","12",NA,NA,NA,NA,NA,NA
"13","13",1.5031067078743,0.859248183161152,0.25,58747.3319799045,31.0791666666667,5.89208973889808
"14","14",0.111519918629236,0.518624909964195,1.3,1621.84705752316,11.6568911427943,3.64322225312244
"15","15",NA,NA,NA,NA,NA,NA
"16","16",0.0417752469971142,0.355859986016453,1.3,1605.0577791443,6.19007824500768,0.316494837433273
"17","17",0.458015809788654,0.113892154731572,1.2,3255.95401509043,6.94166666666667,0.0187011127710815
"18","18",NA,NA,NA,NA,NA,NA
"19","19",-0.470189637926784,0.139800377482787,0.65,631.632648384618,14.7835364300469,6.28980879120763
"20","20",NA,NA,NA,NA,NA,NA
"21","21",1.81432634149823,0.00130253363687442,0.4,105730.707749538,60.8416666666667,2.86972246350477
"22","22",-0.723155655032079,-0.946280881747254,1.1,529.753672665361,7.43853846153846,0.0182748659538351
"23","23",NA,NA,NA,NA,NA,NA
"24","24",0.470278603473781,0.0480356908414508,1,3387.49854454332,7,0
"25","25",0.193006676057548,-1.70244783593179,0.45,6025.64231224167,23.6964285714286,0.182292066262158
"26","26",NA,NA,NA,NA,NA,NA
"27","27",1.57573537670953,0.400697088942656,0.4,56522.9501108959,25.9778571428571,3.80608500023332
"28","28",NA,NA,NA,NA,NA,NA
"29","29",0.651202853233859,-1.6312419933014,0.3,12532.3089024684,46.1666666666667,0.341992784028386
"30","30",-0.755028819407737,-1.22030923317705,1,494.852681790702,8.08514492753623,0.00185865643493677
"31","31",0.163086106088516,-0.0487387639314035,1.15,1997.03294701508,6.825,0.0109926252009123
"32","32",-0.400719990046676,-0.587892289934036,1,802.873685271955,7,0
"33","33",NA,NA,NA,NA,NA,NA
"34","34",1.25934397112559,-0.468461934157069,0.8,26629.6752726898,33.2541666666667,1.90791575910983
"35","35",-0.361298575782253,0.0500453981819302,1.1,834.095030532759,6.78543217035678,0.651169306355327
"36","36",-1.4786796946869,-2.25071095146267,0.8,294.098872580988,11.4305147058824,0.082673490204036
"37","37",0.0808507552212542,0.454638860422846,1.15,1663.33590008716,9.58613825934069,2.335316743276
"38","38",-0.28141790310735,-0.968527685369756,0.95,762.947113243521,8.56333992094862,0.0215775430753993
"39","39",-0.753631904729772,-0.734629075872903,1.15,493.442399059498,6.85152116402116,0.0130231710063347
"40","40",NA,NA,NA,NA,NA,NA
"41","41",NA,NA,NA,NA,NA,NA
"42","42",0.564272634987534,-0.133172704370858,0.1,13462.1489424459,22.1666666666667,0
"43","43",NA,NA,NA,NA,NA,NA
"44","44",0.423230944122151,0.300632137054782,1.3,3400.506822727,6.6932881773399,0.0154308609289034
"45","45",NA,NA,NA,NA,NA,NA
"46","46",-0.0791560916356361,-0.724497156866023,0.95,1105.54244186845,8.56788537549407,0.0221399124579153
"47","47",NA,NA,NA,NA,NA,NA
"48","48",1.03278135156546,1.48441320267098,1.2,10896.4330029138,32.5413445378151,12.8716922330787
"49","49",-0.203456478344507,-0.202414732276175,1.2,1151.78343111257,6.64987684729064,0.010935837963281
"50","50",1.76913322178666,0.993230630405245,0.3,97902.3730453222,44.8875,2.77813557637164
"51","51",0.332766791308137,1.04687602962779,0.6,2624.28097778027,25.9112273850183,14.6162081670765
"52","52",-0.572426398272656,-0.665619893559965,1.15,628.663244575999,6.92387566137566,0.0113744875149622
"53","53",-0.872531737660295,-0.351199344149869,1.25,372.880179297085,6.5135632183908,0.014026062559136
"54","54",0.449521352644156,-1.23960867976261,0.35,11859.1998470246,27,0
"55","55",-1.11580644609357,-1.07164761161942,1.1,326.916062657314,7.11360398860399,0.0082788311688367
"56","56",-0.0181851455285255,-1.20157708622503,0.85,532.461368585565,9.18523809523809,0.0185653225615405
"57","57",0.501459119945453,0.12036047536118,1.15,3625.53897822843,7,0
"58","58",0.204410155420858,-0.086302098318778,1.15,2093.30533611928,6.92738095238095,0.0013503116019422
"59","59",0.0435414340812004,0.647672917143187,0.95,1595.55602427417,17.0414791003198,6.44758851602523
"60","60",0.295321881737362,-0.177412154799548,1,2639.84611836727,8,0
"61","61",0.538459371045783,-1.60770166467004,0.8,9451.89986932828,26.2,0.134332098851893
"62","62",0.512693001083114,-0.882191401509993,0.4,10916.9738266795,26.4571428571429,0.41091446576387
"63","63",0.231760967500357,1.24408054757786,0.4,2410.43115429682,37.6977272727273,16.3501735000343
"64","64",-0.856550278140317,-1.54445127589116,0.9,370.496657994779,8.51798418972332,0.0202853742788537
"65","65",NA,NA,NA,NA,NA,NA
"66","66",-0.185490661664479,-1.37168614091587,0.9,424.951965543388,9.09642857142857,0.00211553170628247
"67","67",NA,NA,NA,NA,NA,NA
