"","model","R2","age","age_class","OOS_R2","OOS_rmse","rmse","ln_post","lnL_LOO","df","age class","rho","species"
"1","fithieraggR2",0.451818357962299,"all","all",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","fithieraggR2KRFC",0.551362495387038,"all","all",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","KRFC_Hier",0.94311424181037,"1",NA,0.401580002068784,12254.7618587401,3778.36232822078,NA,NA,NA,"1",NA,NA
"4","KRFC_Hier",0.974529103272043,"2",NA,0.616041094276739,36781.9504469114,9473.58813536155,NA,NA,NA,"2",NA,NA
"5","KRFC_Hier",0.950432791319232,"3",NA,0.33293981754547,26988.0782319687,7356.76160225275,NA,NA,NA,"3",NA,NA
"6","KRFC_Hier",0.947384969277822,"4",NA,-0.0813670780231739,1940.87684745319,428.120793641616,NA,NA,NA,"4",NA,NA
"7","SB_Hier",0.166179324617571,"1",NA,0.0615861962393691,28.2755275155964,26.6532303122111,NA,NA,NA,"1",NA,NA
"8","SB_Hier",0.412825005965071,"2",NA,0.290017558431489,52.6728827795238,47.9012735014652,NA,NA,NA,"2",NA,NA
"9","SB_Hier",0.194017974055558,"3",NA,0.0643128399927766,39.5456816194294,36.702564368499,NA,NA,NA,"3",NA,NA
"10","SB_Hier",0.352655926365279,"4",NA,0.268684313174954,35.8415922241056,33.721154740431,NA,NA,NA,"4",NA,NA
"11","SB_Hier",0.489699364945829,"5",NA,0.392851510979854,13.0368026915742,11.9518927614428,NA,NA,NA,"5",NA,NA
"12","SB_Hier",0.141129869776054,"6",NA,0.00488169084186274,19.9109894877533,18.4977639956697,NA,NA,NA,"6",NA,NA
"13","SB_Hier",0.481567084232766,"7",NA,0.386987222676769,6.77610783917478,6.23148895133143,NA,NA,NA,"7",NA,NA
"14","SB_Hier",0.249660360467894,"8",NA,0.180992750600102,7.34513380390042,7.03047687048387,NA,NA,NA,"8",NA,NA
"15","SB_Hier",0.270102044652303,"9",NA,0.130870181596274,2.23303629670009,2.04637174547685,NA,NA,NA,"9",NA,NA
"16","SB_Hier",0.359017699503289,"10",NA,0.18426200173917,1.38040047454278,1.22363748360467,NA,NA,NA,"10",NA,NA
"17","SB_Hier",0.169176233805298,"11",NA,-0.0277651016666796,1.1278436451597,1.01404311118403,NA,NA,NA,"11",NA,NA
"18","SB_Hier",0.207056760359933,"12",NA,0.07926771648926,0.706196295686011,0.655359802978437,NA,NA,NA,"12",NA,NA
"19","SB_Hier",0.104933873390398,"13",NA,-0.0564878859242666,0.256754283920223,0.236326813133329,NA,NA,NA,"13",NA,NA
"20","SB_Hier",0.112450608471423,"14",NA,0.0254364015611901,0.106530888458666,0.101663889580101,NA,NA,NA,"14",NA,NA
"21","KRFC_indvAge",0.687729008946703,"1",NA,-0.0233677195603106,23011.952162743,3852.4637410897,-8.61506403152003,-0.299223879507363,5.84444446444598,"2",NA,NA
"22","KRFC_indvAge",0.854122732826264,"2",NA,0.365454521225695,50865.655380246,21464.7840541023,-13.2690544112805,-4.78098400797009,8.65786299362879,"3",NA,NA
"23","KRFC_indvAge",0.184940804933062,"3",NA,0.119389377471202,29017.9359038185,30901.6616971196,-13.2666996062074,-7.4744530213684,1.92205031003403,"4",NA,NA
"24","KRFC_indvAge",0.948920087948434,"4",NA,-0.950964213304336,2980.02050225672,363.84308282889,-8.67034839318898,3.35697623148592,8.78784090037746,"5",NA,NA
"25","SB_indvAge",0.859082306166526,"1",NA,-2.33059286248843,38.6783355336817,12.446951362285,-9.9746486719589,-2.10584648173592,3.90158009131051,"X1",NA,NA
"26","SB_indvAge",0.534070341650692,"2",NA,-0.258350769839751,47.4907804153986,46.4790029865107,-13.3724906538584,-6.96686132151154,4.42580164315391,"X2",NA,NA
"27","SB_indvAge",0.205186798837347,"3",NA,-0.491715153606564,46.208233246496,35.8469682663946,-12.4694181545503,-6.57105369715074,1.94723037223815,"X3",NA,NA
"28","SB_indvAge",0.992540862303399,"4",NA,-2.25033717253392,71.8145873659282,3.71794526702814,-8.22164171583496,7.13753848266876,11.1459034274655,"X4",NA,NA
"29","SB_indvAge",0.946320423700638,"5",NA,-0.596429675418348,24.7575186387484,3.39436498982629,-7.10948452585831,5.20969435745965,8.70001987905397,"X5",NA,NA
"30","SB_indvAge",0.774809803166407,"6",NA,0.0999237456668215,20.8960459113198,8.79496540941111,-13.5663806368834,-6.30354092463302,7.29113252744992,"X6",NA,NA
"31","SB_indvAge",0.956793797724112,"7",NA,0.504769815334963,7.333428562778,1.52450717194048,-8.02060037891685,3.95438128626162,8.28937552766086,"X7",NA,NA
"32","SB_indvAge",0.210214411354706,"8",NA,-0.125796501795419,10.7172109970179,5.84590951622611,-14.2323397974118,-9.04061890633471,1.76271201093491,"X8",NA,NA
"33","SB_indvAge",0.859891289149819,"9",NA,-0.792007027391472,2.46541995598346,1.00382545636588,-14.0396640878427,-7.30202757184104,8.58230557993882,"X9",NA,NA
"34","SB_indvAge",0.988710182248357,"10",NA,-0.453358501698398,2.25448489042484,0.116756714705227,-10.3146261434441,3.25113065870279,11.1862820897713,"X10",NA,NA
"35","SB_indvAge",0.460325444471124,"11",NA,-0.286082067682122,1.77159469969455,0.442768917485867,-13.6111604428756,-7.43278396482449,3.76083622006442,"X11",NA,NA
"36","SB_indvAge",0.823773972830977,"12",NA,-0.0432044760921504,1.03829007238694,0.188682349983891,-13.5928255907118,-6.09486957132094,7.16096337120393,"X12",NA,NA
