"","rowname","phi1","phi2","phi3","phi4","phi5","phi6","phi7","phi8","phi9","phi10","ve","sigma2","rho","tslength","approach","maxE","iter"
"31","N_total",0.112712472385686,0.294715551196797,2.63987658328576e-37,2.63987658328576e-37,2.63987658328576e-37,2.63987658328576e-37,2.63987658328576e-37,2.63987658328576e-37,2.63987658328576e-37,2.63987658328576e-37,0.01,2.9861941107652,0.500000076493016,100,"TAindex",10,7
"32","5yrs20ages",1.74300532495814,0.454038550120475,NA,NA,NA,NA,NA,NA,NA,NA,0.045431297630014,1.6021640496507,0.993414107756163,5,"hier",2,7
"33","10yrs10ages",0.736656359127889,0.107926049937692,0.115069548640465,NA,NA,NA,NA,NA,NA,NA,0.01,2.13410732728424,0.975418510377729,10,"hier",3,7
"34","20yrs5ages",0.377185014255335,0.00156207961415923,0.0266239587989608,0.589405426242881,NA,NA,NA,NA,NA,NA,0.01,2.09313939420456,0.974050945843075,20,"hier",4,7
"35","25yrs4ages",0.303216111529003,0.00458135688225425,0.00417395073146382,0.0637044934693052,8.55984538432552e-295,NA,NA,NA,NA,NA,0.01,3.06520313614028,0.999549413455053,25,"hier",5,7
"36","N_total",0.11572872693022,0.292303162155943,4.82674997479968e-24,9.01926115728654e-130,9.01926115728654e-130,9.01926115728654e-130,9.01926115728654e-130,9.01926115728654e-130,9.01926115728654e-130,9.01926115728654e-130,0.01,2.95175177234014,0.499999826518018,100,"TAindex",10,8
"37","5yrs20ages",1.7281511956454,0.457309302455765,NA,NA,NA,NA,NA,NA,NA,NA,0.0468576853356339,1.55818970821968,0.993267104862937,5,"hier",2,8
"38","10yrs10ages",0.726874780252849,0.107103194262685,0.114895562995183,NA,NA,NA,NA,NA,NA,NA,0.01,2.13900279870549,0.975320542395391,10,"hier",3,8
"39","20yrs5ages",0.384524440136736,0.00146102764460327,0.026703705952262,0.555611340142955,NA,NA,NA,NA,NA,NA,0.01,2.15487736731957,0.975403597294955,20,"hier",4,8
"40","25yrs4ages",0.592041912702524,0.213953664132755,0,0,1.01055650478148e-81,NA,NA,NA,NA,NA,0.01,3.07351732535381,0.999796500987435,25,"hier",5,8
"41","N_total",0.113330252916579,0.293381562210679,6.47140644105648e-195,6.47140644105648e-195,6.47140644105648e-195,6.47140644105648e-195,6.47140644105648e-195,6.47140644105648e-195,6.47140644105648e-195,6.47140644105648e-195,0.01,2.97109101320797,0.500000076493016,100,"TAindex",10,9
"42","5yrs20ages",1.73818176579306,0.454647099553602,NA,NA,NA,NA,NA,NA,NA,NA,0.0458184687040074,1.59136701535744,0.993352252689124,5,"hier",2,9
"43","10yrs10ages",0.731275442012781,0.107518904545956,0.114869259532795,NA,NA,NA,NA,NA,NA,NA,0.01,2.13813179784559,0.975409999746044,10,"hier",3,9
"44","20yrs5ages",0.37974020997609,0.00156896361635069,0.0268489027107763,0.582169864504714,NA,NA,NA,NA,NA,NA,0.01,2.0987887803864,0.974488650546706,20,"hier",4,9
"45","25yrs4ages",0.305396785323627,0.00483738361389771,0.00431187962099115,0.0641827397849467,7.39793395022848e-64,NA,NA,NA,NA,NA,0.01,3.05399089880726,0.999551176168718,25,"hier",5,9
"46","N_total",0.110537341598064,0.303665004535524,2.14865658522503e-108,2.14865658522503e-108,2.14865658522503e-108,2.14865658522503e-108,2.14865658522503e-108,2.14865658522503e-108,2.14865658522503e-108,2.14865658522503e-108,0.01,3.00204534127251,0.500000076493016,100,"TAindex",10,10
"47","5yrs20ages",1.75954721565387,0.463538550244267,NA,NA,NA,NA,NA,NA,NA,NA,0.0424767161059039,1.68442690328946,0.993468477620156,5,"hier",2,10
"48","10yrs10ages",0.816422814761148,0.105460172962226,0.119933476717954,NA,NA,NA,NA,NA,NA,NA,0.01,2.10023494397588,0.974270804301639,10,"hier",3,10
"49","20yrs5ages",0.324964365437492,0.00163763406910682,0.0240633467563338,0.758693721195789,NA,NA,NA,NA,NA,NA,0.01,1.84902701225213,0.963014297042622,20,"hier",4,10
"50","25yrs4ages",0.302956181930278,0.00409487067601858,0.00252145726320389,0.0693112240905371,0,NA,NA,NA,NA,NA,0.01,2.90494053265854,0.999580358118268,25,"hier",5,10
"51","N_total",0.114625691569497,0.286379805399497,5.29529199501781e-48,1.24817241893004e-216,1.24817241893004e-216,1.24817241893004e-216,1.24817241893004e-216,1.24817241893004e-216,1.24817241893004e-216,1.24817241893004e-216,0.01,2.95709831124196,0.499999826518018,100,"TAindex",10,11
"52","5yrs20ages",1.73286118645205,0.456476507436034,NA,NA,NA,NA,NA,NA,NA,NA,0.0464656815785906,1.56864506287603,0.993703706028833,5,"hier",2,11
"53","10yrs10ages",0.98963736137784,0.0985885286056793,0.136703755642756,NA,NA,NA,NA,NA,NA,NA,0.01,1.89580553507021,0.971558821071362,10,"hier",3,11
"54","20yrs5ages",0.0437528141991132,0.00671480655257247,0.0303113840291742,1.15217492859418,NA,NA,NA,NA,NA,NA,0.01,1.20100284195455,0.982672928898109,20,"hier",4,11
"55","25yrs4ages",0.329184886334767,0.0534095731090386,1.01211086154934e-247,0,0.0322847012957935,NA,NA,NA,NA,NA,0.01,3.01417419974462,0.999777300912574,25,"hier",5,11
"56","N_total",0.113234181514009,0.314675813223515,1.54570159154274e-36,0,0,0,0,0,0,0,0.01,2.9798200238719,0.499999826518018,100,"TAindex",10,12
"57","5yrs20ages",1.76133424034796,0.43236579467393,NA,NA,NA,NA,NA,NA,NA,NA,0.0436211875504487,1.67736571270499,0.99429953126286,5,"hier",2,12
"58","10yrs10ages",0.813779081759988,0.105538439404935,0.120256856132724,NA,NA,NA,NA,NA,NA,NA,0.01,2.09854007783479,0.974253392047847,10,"hier",3,12
"59","20yrs5ages",0.34293114895137,0.00136079713645035,0.0235669137623366,0.702127691683219,NA,NA,NA,NA,NA,NA,0.01,1.93270065571201,0.964453589912972,20,"hier",4,12
"60","25yrs4ages",0.310950563595502,0.00325123613578914,0.00290253627259837,0.0683624205092245,2.22812675914051e-225,NA,NA,NA,NA,NA,0.01,2.94776886634166,0.999535985474651,25,"hier",5,12
"61","N_total",0.112184335491325,0.295352620511267,6.47140644105648e-195,6.47140644105648e-195,6.47140644105648e-195,6.47140644105648e-195,6.47140644105648e-195,6.47140644105648e-195,6.47140644105648e-195,6.47140644105648e-195,0.01,2.98323327883607,0.500000076493016,100,"TAindex",10,13
"62","5yrs20ages",1.74710242547614,0.459775214016679,NA,NA,NA,NA,NA,NA,NA,NA,0.0448716440320312,1.61376018115447,0.993233908581917,5,"hier",2,13
"63","10yrs10ages",0.725034945252256,0.107233176912901,0.114485602140315,NA,NA,NA,NA,NA,NA,NA,0.01,2.14093891872419,0.97546322059726,10,"hier",3,13
"64","20yrs5ages",0.376976499039863,0.00173360108501347,0.0274622919778041,0.6029997557918,NA,NA,NA,NA,NA,NA,0.01,2.05305178310356,0.974441468416905,20,"hier",4,13
"65","25yrs4ages",0.301817158787811,0.00456612695133913,0.00419662204213495,0.0637140908945306,1.87367314186812e-225,NA,NA,NA,NA,NA,0.01,3.05807120336799,0.999546521228919,25,"hier",5,13
"66","N_total",0.111536824097872,0.296116242441645,3.48485943932454e-57,2.40741236324407e-238,2.40741236324407e-238,2.40741236324407e-238,2.40741236324407e-238,2.40741236324407e-238,2.40741236324407e-238,2.40741236324407e-238,0.01,2.98949941982146,0.500000076493016,100,"TAindex",10,14
"67","5yrs20ages",1.75154010459671,0.461795296910625,NA,NA,NA,NA,NA,NA,NA,NA,0.0444878815513585,1.62181438391217,0.993220640022254,5,"hier",2,14
"68","10yrs10ages",0.72579714928803,0.107296101060266,0.114483873614393,NA,NA,NA,NA,NA,NA,NA,0.01,2.1400468375933,0.975474390305645,10,"hier",3,14
"69","20yrs5ages",0.37548267810593,0.00176512121273077,0.0275070081877908,0.610328062913174,NA,NA,NA,NA,NA,NA,0.01,2.03957969773873,0.974240852028652,20,"hier",4,14
"70","25yrs4ages",0.301101640325072,0.00453550219751434,0.00412978142353522,0.063825924166162,7.23127833130778e-304,NA,NA,NA,NA,NA,0.01,3.05237049713947,0.999544191699933,25,"hier",5,14
"71","N_total",0.113950973079971,0.291338460449292,1.73958985858633e-151,1.73958985858633e-151,1.73958985858633e-151,1.73958985858633e-151,1.73958985858633e-151,1.73958985858633e-151,1.73958985858633e-151,1.73958985858633e-151,0.01,2.96749558727263,0.500000076493016,100,"TAindex",10,15
"72","5yrs20ages",1.73107352078619,0.455759929085165,NA,NA,NA,NA,NA,NA,NA,NA,0.0465481998869766,1.56879740343027,0.993307513700914,5,"hier",2,15
"73","10yrs10ages",0.729018771681998,0.107308241351694,0.114929347265234,NA,NA,NA,NA,NA,NA,NA,0.01,2.13775313658265,0.975348143853184,10,"hier",3,15
"74","20yrs5ages",0.383170168898009,0.00149614076691629,0.0267687724138534,0.564952594434659,NA,NA,NA,NA,NA,NA,0.01,2.13212861878384,0.975028013827671,20,"hier",4,15
"75","25yrs4ages",0.313126940348102,0.00559695419828134,0.00441687342456756,0.0662829168260065,1.59802238640155e-35,NA,NA,NA,NA,NA,0.01,3.00387412598997,0.999566447760369,25,"hier",5,15
"76","N_total",0.113085273924416,0.293020433676113,6.47140644105648e-195,6.47140644105648e-195,6.47140644105648e-195,6.47140644105648e-195,6.47140644105648e-195,6.47140644105648e-195,6.47140644105648e-195,6.47140644105648e-195,0.01,2.97484894731443,0.500000076493016,100,"TAindex",10,16
"77","5yrs20ages",1.73690198147132,0.456622556607395,NA,NA,NA,NA,NA,NA,NA,NA,0.0457975839720863,1.59175194410173,0.993247974154706,5,"hier",2,16
"78","10yrs10ages",0.723482955711626,0.106986489078668,0.114564395842014,NA,NA,NA,NA,NA,NA,NA,0.01,2.14143256997249,0.975397764335893,10,"hier",3,16
"79","20yrs5ages",0.380612347918624,0.00164188585183207,0.0272948734039581,0.583781331470714,NA,NA,NA,NA,NA,NA,0.01,2.08946460835024,0.974940955477691,20,"hier",4,16
"80","25yrs4ages",0.304829130784119,0.00483613148219974,0.00434832666252284,0.0637009749732371,5.49723238267544e-27,NA,NA,NA,NA,NA,0.01,3.06604195332714,0.99955872108553,25,"hier",5,16
"81","N_total",0.11141493551031,0.299624401590944,4.69391944403157e-53,4.69391944403157e-53,4.69391944403157e-53,4.69391944403157e-53,4.69391944403157e-53,4.69391944403157e-53,4.69391944403157e-53,4.69391944403157e-53,0.01,2.98404887493175,0.500000076493016,100,"TAindex",10,17
"82","5yrs20ages",1.7593955894319,0.46113207961769,NA,NA,NA,NA,NA,NA,NA,NA,0.0439309057607468,1.63638519317809,0.993353199902575,5,"hier",2,17
"83","10yrs10ages",0.738345513459053,0.108214905932248,0.114903724074894,NA,NA,NA,NA,NA,NA,NA,0.01,2.13379293591684,0.975508753262841,10,"hier",3,17
"84","20yrs5ages",0.371407677434934,0.00172509838842553,0.0270058616028219,0.621773240309435,NA,NA,NA,NA,NA,NA,0.01,2.02551352083678,0.973161798992514,20,"hier",4,17
"85","25yrs4ages",0.301274787159941,0.00430713016371403,0.00392798476581067,0.0644928149945137,7.27035385346444e-98,NA,NA,NA,NA,NA,0.01,3.0342560301297,0.999537792903857,25,"hier",5,17
"86","N_total",0.113491176815836,0.294597800608893,4.69391944403157e-53,4.69391944403157e-53,4.69391944403157e-53,4.69391944403157e-53,4.69391944403157e-53,4.69391944403157e-53,4.69391944403157e-53,4.69391944403157e-53,0.01,2.96448633499925,0.500000076493016,100,"TAindex",10,18
"87","5yrs20ages",1.73830670905605,0.453654138483013,NA,NA,NA,NA,NA,NA,NA,NA,0.0458787499932253,1.58974290562249,0.993400162397364,5,"hier",2,18
"88","10yrs10ages",0.735261137851465,0.107817188363448,0.115089182171611,NA,NA,NA,NA,NA,NA,NA,0.01,2.13410560633437,0.975386758886793,10,"hier",3,18
"89","20yrs5ages",0.379555885040593,0.00152945357145984,0.0266317244690149,0.580472896424338,NA,NA,NA,NA,NA,NA,0.01,2.10502348479878,0.974299638576412,20,"hier",4,18
"90","25yrs4ages",0.303973632912349,0.00457541146637482,0.00430019847672482,0.0636102961199323,0,NA,NA,NA,NA,NA,0.01,3.07860889441397,0.999552102892941,25,"hier",5,18
"91","N_total",0.115235667383312,0.290121417926959,2.48278343325194e-20,2.14865658522503e-108,2.14865658522503e-108,2.14865658522503e-108,2.14865658522503e-108,2.14865658522503e-108,2.14865658522503e-108,2.14865658522503e-108,0.01,2.9469725767421,0.500000076493016,100,"TAindex",10,19
"92","5yrs20ages",1.73028063605205,0.459160417625986,NA,NA,NA,NA,NA,NA,NA,NA,0.0470622121940887,1.54507521066775,0.993354267480015,5,"hier",2,19
"93","10yrs10ages",0.73696875114408,0.107740844398084,0.115392584923455,NA,NA,NA,NA,NA,NA,NA,0.01,2.13274637274922,0.975285819473028,10,"hier",3,19
"94","20yrs5ages",0.385132051234253,0.00134045306271464,0.0261471909214727,0.548376759372036,NA,NA,NA,NA,NA,NA,0.01,2.17476128862369,0.974947570350462,20,"hier",4,19
"95","25yrs4ages",0.313023172725704,0.0051867508244018,0.00452450799662332,0.0637404857894929,6.1972750147381e-79,NA,NA,NA,NA,NA,0.01,3.07766571224334,0.999564698385062,25,"hier",5,19
"96","N_total",0.110443963577252,0.299576799576588,2.30363310093958e-63,2.30363310093958e-63,2.30363310093958e-63,2.30363310093958e-63,2.30363310093958e-63,2.30363310093958e-63,2.30363310093958e-63,2.30363310093958e-63,0.01,3.00208122497847,0.499999826518018,100,"TAindex",10,20
"97","5yrs20ages",1.76481029914098,0.470684346083564,NA,NA,NA,NA,NA,NA,NA,NA,0.0433438203466777,1.64224824832369,0.993135623199131,5,"hier",2,20
"98","10yrs10ages",0.727403060313975,0.107627120106648,0.114360757027682,NA,NA,NA,NA,NA,NA,NA,0.01,2.13973702927988,0.975552445569498,10,"hier",3,20
"99","20yrs5ages",0.371278152026383,0.00187151800944019,0.0277514968056118,0.63220455203172,NA,NA,NA,NA,NA,NA,0.01,1.99916545785169,0.973689876176705,20,"hier",4,20
"100","25yrs4ages",0.300695590622273,0.00435402850699138,0.00394594309750098,0.0636255685012943,1.51977052693234e-19,NA,NA,NA,NA,NA,0.01,3.03541673450283,0.999534648183486,25,"hier",5,20
"101","N_total",0.116540480615129,0.289173652301418,1.93648699794965e-138,0,0,0,0,0,0,0,0.01,2.93961952801194,0.499999826518018,100,"TAindex",10,21
"102","5yrs20ages",1.75479008139459,0.507651657847176,NA,NA,NA,NA,NA,NA,NA,NA,0.0470259346433669,1.47222104945038,0.993179550668948,5,"hier",2,21
"103","10yrs10ages",0.74928142494705,0.108142906306978,0.116187339140463,NA,NA,NA,NA,NA,NA,NA,0.01,2.126002929628,0.975175429307108,10,"hier",3,21
"104","20yrs5ages",0.38841874009875,0.00109317404517565,0.0251683599082304,0.521655638214054,NA,NA,NA,NA,NA,NA,0.01,2.24711650954909,0.974848066385451,20,"hier",4,21
"105","25yrs4ages",0.586258618618126,0.0419312412773968,1.3932085534498e-64,0.0640764596746459,0,NA,NA,NA,NA,NA,0.01,2.43185616532891,0.999675977826623,25,"hier",5,21
"106","N_total",0.115935582090352,0.290846504438363,2.88636011869979e-68,4.64329622959346e-260,4.64329622959346e-260,4.64329622959346e-260,4.64329622959346e-260,4.64329622959346e-260,4.64329622959346e-260,4.64329622959346e-260,0.01,2.94993995333649,0.499999826518018,100,"TAindex",10,22
"107","5yrs20ages",1.73611076565638,0.460939571390832,NA,NA,NA,NA,NA,NA,NA,NA,0.0470861033565381,1.53507982140477,0.99350379168553,5,"hier",2,22
"108","10yrs10ages",0.751759428298405,0.10834484896074,0.116193131887131,NA,NA,NA,NA,NA,NA,NA,0.01,2.12498574374541,0.975214473336178,10,"hier",3,22
"109","20yrs5ages",0.38452980595118,0.00118726817207316,0.0253070018701229,0.543635629522605,NA,NA,NA,NA,NA,NA,0.01,2.19913449577315,0.9741648932253,20,"hier",4,22
"110","25yrs4ages",0.339939038109721,0.00593914477988385,0.00497907536868765,0.0679819639998256,1.69956002645400e-09,NA,NA,NA,NA,NA,0.01,2.81348523233247,0.999564286088405,25,"hier",5,22
"111","N_total",0.115276180283149,0.291086355078892,4.77096004344358e-160,0,0,0,0,0,0,0,0.01,2.95467285286356,0.500000076493016,100,"TAindex",10,23
"112","5yrs20ages",1.73342820956041,0.457603164010554,NA,NA,NA,NA,NA,NA,NA,NA,0.0469418586186725,1.54666653153019,0.993465884795203,5,"hier",2,23
"113","10yrs10ages",0.745423706796438,0.108125205845673,0.115809542572356,NA,NA,NA,NA,NA,NA,NA,0.01,2.12774115634427,0.975264164094952,10,"hier",3,23
"114","20yrs5ages",0.383852865588025,0.00127534047865192,0.0257112876966426,0.549819784225687,NA,NA,NA,NA,NA,NA,0.01,2.17940364528533,0.974385855771286,20,"hier",4,23
"115","25yrs4ages",0.313064736688606,0.00486043266750351,0.00446253524266492,0.0640861506998083,6.99059799239217e-230,NA,NA,NA,NA,NA,0.01,3.06979537674891,0.999560804718477,25,"hier",5,23
"116","N_total",0.112419807915256,0.295488124414158,1.83008347793943e-44,1.83008347793943e-44,1.83008347793943e-44,1.83008347793943e-44,1.83008347793943e-44,1.83008347793943e-44,1.83008347793943e-44,1.83008347793943e-44,0.01,2.98307981369399,0.499999826518018,100,"TAindex",10,24
"117","5yrs20ages",1.74418784212508,0.454539649182941,NA,NA,NA,NA,NA,NA,NA,NA,0.0453009845546055,1.60564417902682,0.993403166279873,5,"hier",2,24
"118","10yrs10ages",0.736169321955046,0.107946046430801,0.115047963743658,NA,NA,NA,NA,NA,NA,NA,0.01,2.13315342181077,0.975414531630914,10,"hier",3,24
"119","20yrs5ages",0.376986588016518,0.00159135578073615,0.0267238075613706,0.593220322594178,NA,NA,NA,NA,NA,NA,0.01,2.08115350206499,0.973975724399006,20,"hier",4,24
